block_id,publisher,work,volume,title_as_entered,match_key,alias_merged,occurrence,status,seat,entry_no
B02,Sher,The Real Easy Book,vol 2,Mimosa,mimosa,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Moonlight In Vermont,moonlight in vermont,,1,seated,List 5A,48
B02,Sher,The Real Easy Book,vol 2,Moose The Mooche,moose the mooche,,1,seated,List 1A,91
B02,Sher,The Real Easy Book,vol 2,Mr. Day,mr day,,1,seated,List 3,106
B02,Sher,The Real Easy Book,vol 2,No Me Esqueca,recorda me,Y,1,seated,List 1A,45
B02,Sher,The Real Easy Book,vol 2,No Moe,no moe,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,On A Misty Night,on a misty night,,1,seated,List 3,55
B02,Sher,The Real Easy Book,vol 2,On The Marc,on the marc,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Once I Loved,once i loved,,1,seated,List 5A,55
B02,Sher,The Real Easy Book,vol 2,OP,op,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Orange Colored Sky,orange colored sky,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Ornithology,ornithology,,1,seated,List 1A,43
B02,Sher,The Real Easy Book,vol 2,Passion Dance,passion dance,,1,seated,List 2,55
B02,Sher,The Real Easy Book,vol 2,Paul's Pal,paul's pal,,1,declined,,
B02,Sher,The Real Easy Book,vol 2,Peace,peace,,1,seated,List 2,56
B02,Sher,The Real Easy Book,vol 2,Primal Urge,primal urge,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Rakin' And Scrapin',rakin' and scrapin',,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Room 608,room 608,,1,seated,List 3,137
B02,Sher,The Real Easy Book,vol 2,Sack Of Woe,sack of woe,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Saucer Eyes,saucer eyes,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Sco's Bossa,sco's bossa,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Scotch And Water,scotch and water,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Scrapple From The Apple,scrapple from the apple,,1,seated,List 1B,43
B02,Sher,The Real Easy Book,vol 2,Shiny Stockings,shiny stockings,,1,seated,List 4,72
B02,Sher,The Real Easy Book,vol 2,Silver's Serenade,silver's serenade,,1,declined,,
B02,Sher,The Real Easy Book,vol 2,Sky Dive,sky dive,,1,declined,,
B02,Sher,The Real Easy Book,vol 2,The Snapper,snapper,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Solar,solar,,1,seated,List 1A,50
B02,Sher,The Real Easy Book,vol 2,Some Other Blues,some other blues,,1,seated,List 3,113
B02,Sher,The Real Easy Book,vol 2,Split Kick,split kick,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Sposin',sposin',,1,declined,,
B02,Sher,The Real Easy Book,vol 2,Starrburst,starrburst,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Stuff You Gotta Watch,stuff you gotta watch,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Sugar,sugar,,1,seated,List 2,71
B02,Sher,The Real Easy Book,vol 2,Super Jet,super jet,,1,declined,,
B02,Sher,The Real Easy Book,vol 2,Sweet Pumpkin,sweet pumpkin,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Swinging At The Haven,swinging at the haven,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Tee Pee Time,tee pee time,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Trane Connections,trane connections,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Triste,triste,,1,seated,List 1B,52
B02,Sher,The Real Easy Book,vol 2,Tune Up,tune up,,1,seated,List 1A,60
B02,Sher,The Real Easy Book,vol 2,Two Bass Hit,two bass hit,,1,seated,List 2,108
B02,Sher,The Real Easy Book,vol 2,Unit 7,unit 7,,1,seated,List 2,80
B02,Sher,The Real Easy Book,vol 2,Uptown After Dark,uptown after dark,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Walk Between The Raindrops,walk between the raindrops,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Walkin',walkin',,1,seated,List 1A,83
B02,Sher,The Real Easy Book,vol 2,Walkin' Shoes,walkin' shoes,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Wave,wave,,1,seated,List 1A,62
B02,Sher,The Real Easy Book,vol 2,Wendy,wendy,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,West Coast Blues,west coast blues,,1,seated,List 2,84
B02,Sher,The Real Easy Book,vol 2,What Might Have Been,what might have been,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Whisper Not,whisper not,,1,seated,List 2,86
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Alexander's Ragtime Band,alexander's ragtime band,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections","Bill Bailey, Won't You Please Come Home?",bill bailey won't you please come home,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",The Birth Of The Blues,birth of the blues,,1,declined,,
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",St. Louis Blues,st louis blues,,1,seated,List 4,46
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",When It's Sleepy Time Down South,when it's sleepy time down south,,1,seated,List 4,25
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Flying Home,flying home,,1,seated,List 4,64
B03,Sher,The Real Easy Book,"vol 3, 9 period sections",Night Train,night train,,1,declined,,
