title,declined_from,appendix,entry_no,js_rank,miller_calls,watkins,also_in_appendix_D
By Myself,the ranking,C,52,827,,,
Bye Bye Blues,the ranking,C,53,499,,,
Bye-Ya,the chapter,B,28,,10,,
C. R. M.,the chapter,B,29,,,,
Cabin in the Sky,the ranking,C,54,549,,,
Canadian Sunset,the ranking,C,56,563,,,
Candy,the ranking,C,57,716,,,
Can't We Be Friends,the ranking,C,55,632,,,
Capetown Ambush,the chapter,B,30,,,,
Careless Love,the ranking,C,58,787,,,
Carioca,the ranking,C,59,516,,,
Celia,the chapter,B,31,,1,,
Change Partners,the ranking,C,60,926,,,
Charleston,the ranking,C,61,988,,,
Chattanooga Choo Choo,the ranking,C,62,914,,,
Cherry,the ranking,C,63,612,,,
Chicago (That Toddlin' Town),the ranking,C,64,541,,,
Chinatown My Chinatown,the ranking,C,65,703,,,
Chloe,the ranking,C,66,441,,,
Choose Now,the chapter,B,32,,,,
The Christmas Song,the ranking,C,364,305,,,
Christmas Time is Here,the ranking,C,67,943,,,
Christopher Columbus,the ranking,C,68,588,,,
Close Enough for Love,the ranking,C,69,847,,,
Cocktails for Two,the ranking,C,70,585,,,
The Continental,the ranking,C,365,906,,,
Coquette,the ranking,C,71,407,,,
Cottage for Sale,the ranking,C,72,840,,,
Count Every Star,the chapter,B,33,,,,
Count Your Blessings,the chapter,B,34,,,,
The Creole Love Call,the ranking,C,366,953,,,
Crisis,the chapter,B,35,,,,
Cyclic Episode,the chapter,B,36,,,,
Dancing on the Ceiling,the ranking,C,73,671,,,
Danny Boy,the ranking,C,74,649,,,
Dark Eyes,the ranking,C,75,397,,,
Darktown Strutters Ball,the ranking,C,76,547,,,
Davenport Blues,the ranking,C,77,757,,,
Dear Old Southland,the ranking,C,78,589,,,
Dearly Beloved,the ranking,C,79,595,,,
Dedicated to You,the ranking,C,80,573,,,
Deep in a Dream,the ranking,C,81,740,,,
Deep Night,the ranking,C,82,836,,,
Deep Purple,the ranking,C,83,295,,,
Deep River,the ranking,C,84,651,,,
Delilah,the chapter,B,37,,,,
Deluge,the chapter,B,38,,,,
Diane,the chapter,B,39,,,,
Dig,the chapter,B,40,,1,,
Do You Know What It Means to Miss New Orleans,the ranking,C,85,687,,,yes
Don't Go to Strangers,the ranking,C,86,832,,,
Don't Take Your Love from Me,the ranking,C,87,521,,,
Dream,the ranking,C,88,442,,,
Dream Dancing,the ranking,C,89,910,,,
Dream of You,the ranking,C,90,995,,,
Driftin',the chapter,B,41,,,,
Drop Me off in Harlem,the ranking,C,91,566,,,
Easter Parade,the ranking,C,92,662,,,
Eastern Joy Dance,the chapter,B,42,,,,
Easy Does It,the ranking,C,93,949,,,
Ecaroh,the chapter,B,43,,,,
Echoes of Harlem,the ranking,C,94,969,,,
Effendi,the chapter,B,44,,,,
Elm,the chapter,B,45,,,,
Episode From A Village Dance,the chapter,B,46,,,,
Escapade,the chapter,B,47,,,,
Every Day I Have the Blues,the ranking,C,97,976,,,
Everybody Loves My Baby,the ranking,C,98,507,,,
Everything but You,the ranking,C,99,811,,,
Everything I Have Is Yours,the ranking,C,100,579,,,
Everything Must Change,the ranking,C,101,761,,,
Ev'rything I Love,the ranking,C,95,773,,,
Ev'rything I've Got (Belongs to You),the ranking,C,96,842,,,
Exact Change,the chapter,B,48,,,,
Exodus,the ranking,C,102,822,,,
Farewell Blues,the ranking,C,103,413,,,
A Felicidade,the ranking,C,6,708,,,
Fifth House,the chapter,B,49,,,,
A Fine Romance,the ranking,C,7,427,,,
Firewater,the chapter,B,50,,,,
First Trip,the chapter,B,51,,,,
Five O'clock Whistle,the ranking,C,104,803,,,
The Flat Foot Floogie,the ranking,C,367,809,,,
Fly Little Bird Fly,the chapter,B,52,,,,
For You,the ranking,C,105,723,,,
Forest Flower,the chapter,B,53,,,,
Four By Five,the chapter,B,54,,,,
Four or Five Times,the ranking,C,106,741,,,
Frankie and Johnny,the ranking,C,107,514,,,
Freeway,the chapter,B,55,,,,
Frenesi,the ranking,C,108,438,,,
Friday The Thirteenth,the chapter,B,56,,,,
The Fruit,the chapter,B,198,,,,
Funji Mama,the chapter,B,57,,,,
Gaslight,the chapter,B,58,,,,
Gertrude's Bounce,the chapter,B,59,,,,
Get Out of Town,the ranking,C,109,410,,,
Getting To Know You,the chapter,B,60,,,,
Glass Enclosure,the chapter,B,61,,,,
Gloomy Sunday,the ranking,C,110,674,,,
The Glory of Love,the ranking,C,368,897,,,
Gnid,the chapter,B,62,,,,
God Rest Ye Merry Gentlemen,the ranking,C,111,729,,,
Goin' Out of My Head,the ranking,C,112,883,,,
Goin' to Chicago Blues,the ranking,C,113,535,,,
Gone Again,the chapter,B,63,,,,
Goodnight My Love,the ranking,C,114,743,,,
Grand Central,the chapter,B,64,,,,
Granted,the chapter,B,65,,,,
Green Eyes (Aquellos Ojos Verdes),the ranking,C,115,745,,,
Green St. Caper,the chapter,B,66,,,,
Greensleeves,the ranking,C,116,403,2,,
Guilty,the ranking,C,117,759,,,
The Gypsy In My Soul,the chapter,B,199,,,,
Gypsy Without A Song,the chapter,B,67,,,,
Happy Times,the chapter,B,68,,,,
Harlem Nocturne,the ranking,C,118,807,,,
Harvard Blues,the ranking,C,119,994,,,
Haunted Heart,the ranking,C,120,880,,,
Have Yourself a Merry Little Christmas,the ranking,C,121,457,,,
Heart and Soul,the ranking,C,122,815,,,
Heat Wave,the ranking,C,123,959,,,
Hello Dolly,the ranking,C,124,758,,,
Hello Young Lovers,the ranking,C,125,928,,,
Hey There,the chapter,B,69,,,,
The Hour of Parting,the ranking,C,369,779,,,
House Of Jade,the chapter,B,70,,,,
Household Of Saud,the chapter,B,71,,,,
How Am I to Know?,the ranking,C,126,582,,,
How Are Things In Glocca Morra?,the chapter,B,72,,,,
How Come You Do Me Like You Do,the ranking,C,127,690,,,
How Could You Do A Thing Like That To Me,the chapter,B,73,,,,
"How Long, How Long Blues",the ranking,C,128,559,,,
Hub-Tones,the chapter,B,74,,,,
Humoresque,the ranking,C,129,668,,,
I Ain't Got Nobody (and Nobody Cares for Me),the ranking,C,130,415,,,
I Ain't Got Nothin' but the Blues,the ranking,C,131,888,,,
I Believe in You,the ranking,C,132,963,,,
I Can't Escape from You,the ranking,C,133,726,,,
I Can't Stop Loving You,the ranking,C,134,920,,,
I Could Have Danced All Night,the ranking,C,135,841,,,
I Cried for You,the ranking,C,136,245,,,
I Didn't Know About You,the ranking,C,137,500,,,
I Don't Know Why (I Just Do),the ranking,C,138,464,,,
I Don't Wanna Be Kissed,the chapter,B,75,,,,
I Get Along Without You Very Well,the ranking,C,139,661,,,
I Gotta Right to Sing the Blues,the ranking,C,140,528,,,
I Guess I'll Have to Change My Plan,the ranking,C,141,753,,,
I Had The Craziest Dream,the chapter,B,76,,,,
I Hear Music,the ranking,C,142,414,,,
I Love Lucy,the chapter,B,77,,,,
I Love Paris,the ranking,C,143,553,,,
I May Be Wrong,the ranking,C,144,626,,,
I Must Have That Man,the ranking,C,145,564,,,
I Never Knew,the ranking,C,146,303,,,
I See Your Face Before Me,the ranking,C,147,902,,,
I Think You're Wonderful,the chapter,B,78,,,,
I Thought I'd Let You Know,the chapter,B,79,,,,
I Waited for You,the ranking,C,148,866,,,
I Want a Little Girl,the ranking,C,149,360,,,
I Wish I Knew,the ranking,C,150,312,,,
I Wished on the Moon,the ranking,C,151,386,,,
I Won't Dance,the ranking,C,152,999,,,
(I Would Do) Anything for You,the ranking,C,2,750,,,
Idaho,the ranking,C,173,955,,,
If,the chapter,B,84,,,,
If Dreams Come True,the ranking,C,174,491,,,
If Ever I Would Leave You,the chapter,B,85,,,,
If I Loved You,the ranking,C,175,788,,,
If There Is Someone Lovelier Than You,the chapter,B,86,,,,
If This Isn't Love,the chapter,B,87,,,,
I'll Get By (As Long As I Have You),the ranking,C,153,531,,,
I'll Keep Loving You,the chapter,B,80,,,,
I'll Never Be the Same,the ranking,C,154,210,,,
I'll Never Smile Again,the ranking,C,155,428,,,
I'll See You in My Dreams,the ranking,C,156,473,,,
I'll String Along with You,the ranking,C,157,844,,,
I'll Take Romance,the ranking,C,158,672,,,
I'll Wait And Pray,the chapter,B,81,,,,
I'll Walk Alone,the ranking,C,159,735,,,
I'm a Fool to Want You,the ranking,C,160,319,,,
I'm an Old Cowhand (From the Rio Grande),the ranking,C,161,896,,,
I'm Coming Virginia,the ranking,C,162,226,,,
I'm Crazy 'Bout My Baby,the ranking,C,163,686,,,
I'm Getting Sentimental Over You,the ranking,C,164,176,,,
I'm Glad There Is You,the ranking,C,165,357,,,
I'm Just a Lucky So and So,the ranking,C,166,363,,,
I'm Just Wild About Harry,the ranking,C,167,964,,,
I'm Putting All My Eggs in One Basket,the ranking,C,168,884,,,
I'm So Excited By You,the chapter,B,82,,,,
I'm Thru with Love,the ranking,C,169,636,,,
I'm Yours,the ranking,C,170,794,,,
In A Capricornian Way,the chapter,B,88,,,,
In a Little Spanish Town,the ranking,C,176,667,,,
In A Mist,the chapter,B,89,,,,
In Case You Haven't Heard,the chapter,B,90,,,,
Indian Summer,the ranking,C,177,267,,,
Intrepid Fox,the chapter,B,91,,,,
Introspection,the chapter,B,92,,,,
Is That So,the chapter,B,93,,,,
Is You Is or Is You Ain't My Baby?,the ranking,C,178,805,,,
Isn't She Lovely,the ranking,C,179,763,,,
It All Depends on You,the ranking,C,180,937,,,
It Came Upon a Midnight Clear,the ranking,C,181,989,,,
It's a Blue World,the ranking,C,182,676,,,
It's a Wonderful World,the ranking,C,183,778,,,
"It's Been a Long, Long Time",the ranking,C,184,962,,,
It's Magic,the ranking,C,185,689,,,
It's Wonderful,the ranking,C,186,852,,,
I've Got a Feeling I'm Falling,the ranking,C,171,702,,,
I've Got My Love to Keep Me Warm,the ranking,C,172,904,,,
I've Told Ev'ry Little Star,the chapter,B,83,,,,
Ja-Da,the ranking,C,187,658,,,
Jayne,the chapter,B,94,,,,
Jeepers Creepers,the ranking,C,188,308,,,
Jersey Bounce,the ranking,C,189,801,,,
Jim,the ranking,C,190,870,,,
Jingle Bells,the ranking,C,191,275,,,
Jive At Five,the ranking,C,192,767,,,
The Jody Grind,the chapter,B,200,,,,
Jump for Joy,the ranking,C,193,935,,,
Jumpin' with Symphony Sid,the ranking,C,194,712,1,categorical (3),
Just a Closer Walk with Thee,the ranking,C,195,781,,,
Just a Gigolo,the ranking,C,196,583,,,
Just A-Sittin' and A-Rockin',the ranking,C,197,461,,,
Just One More Chance,the chapter,B,95,,,,
Kansas City,the ranking,C,198,929,,,
Katrina Ballerina,the chapter,B,96,,,,
Keepin' Out of Mischief Now,the ranking,C,199,378,,,
Knucklebean,the chapter,B,97,,,,
La Alhambra,the chapter,B,98,,,,
The Lady's in Love with You,the ranking,C,370,665,,,
Lament For Booker,the chapter,B,99,,,,
The Lamp Is Low,the ranking,C,371,530,,,
Lazy Afternoon,the ranking,C,200,643,,,
Lester Left Town,the chapter,B,100,,,,
Let It Snow! Let It Snow! Let It Snow!,the ranking,C,201,554,,,
Let Me Off Uptown,the ranking,C,202,934,,,
Let Me Try,the chapter,B,101,,,,
Let's Call the Whole Thing Off,the ranking,C,203,766,,,
Let's Call This,the chapter,B,102,,,,
Let's Cool One,the chapter,B,103,,,,
Let's Dance,the ranking,C,204,990,,,
Let's Do It (Let's Fall in Love),the ranking,C,205,797,,,
Let's Face the Music and Dance,the ranking,C,206,616,1,,
Let's Fall in Love,the ranking,C,207,480,2,,
Light Blue,the chapter,B,104,,,,
Like Sonny (AKA Simple Like),the chapter,B,105,,,,
Lil's Paradise,the chapter,B,106,,,,
Linger Awhile,the ranking,C,208,666,,,
Litha,the chapter,B,107,,,,
Little Dancer,the chapter,B,108,,,,
Little Melonae,the chapter,B,109,,,,
Little Niles,the chapter,B,110,,,,
Little Old Lady,the chapter,B,111,,,,
Little One,the chapter,B,112,,,,
Little Red's Fantasy,the chapter,B,113,,,,
Little White Lies,the ranking,C,209,680,,,
Locomotion,the chapter,B,114,,1,categorical (2),
Lonely Woman (Silver),the chapter,B,115,,,categorical (1),
Lonesome Road,the ranking,C,210,574,,,
Long Ago (and Far Away),the ranking,C,211,299,,,
Look for the Silver Lining,the ranking,C,212,673,,,
The Look of Love,the ranking,C,372,698,,,
Lookout Farm,the chapter,B,116,,,,
Lost,the chapter,B,117,,,,
Lost in the Stars,the ranking,C,213,688,,,
Louise,the ranking,C,214,408,,,
Love Dance,the ranking,C,215,604,,,
Love Is A Many Splendored Thing,the chapter,B,118,,,,
Love Is Just Around the Corner,the ranking,C,216,821,,,
Love Letters,the ranking,C,217,309,,,
Love You Madly,the ranking,C,218,567,,,
Loveless Love,the ranking,C,219,715,,,
Lucky Day,the chapter,B,119,,,,
Lullaby in Rhythm,the ranking,C,220,586,,,
Lullaby of Broadway,the ranking,C,221,992,,,
Lullaby of the Leaves,the ranking,C,222,251,,,
Lulu's Back in Town,the ranking,C,223,581,,,
Luny Tune,the chapter,B,120,,,,
The Maestro,the chapter,B,201,,,,
Mahjong,the chapter,B,121,,,,
Main Stem,the ranking,C,224,502,,,
Make Believe,the ranking,C,225,936,,,
Make Someone Happy,the ranking,C,226,890,,,
Mamacita,the chapter,B,122,,,,
Mambo Inn,the ranking,C,227,938,,,
Manhattan,the ranking,C,228,489,,,
Maple Leaf Rag,the ranking,C,229,889,,,
Margie,the ranking,C,230,268,,,
Maria,the ranking,C,231,591,,,
Marie,the ranking,C,232,838,,,
Mas Que Nada,the ranking,C,233,887,,,
The Masquerade Is Over,the ranking,C,373,396,,,
Mating Call,the chapter,B,123,,,,
Maybe,the ranking,C,234,983,,,
Maybe You'll Be There,the ranking,C,235,864,,,
(Meet) The Flintstones,the chapter,B,1,,,categorical (6),
Melancholia,the chapter,B,124,,,,
Memphis Blues,the ranking,C,236,725,,,
Milestones (old),the chapter,B,125,287,,,
"Mirror, Mirror",the chapter,B,126,,,,
Miyako,the chapter,B,127,,,,
Mo' Joe,the chapter,B,128,,,,
The Mooche,the ranking,C,374,714,,,
Moon Alley,the chapter,B,129,,,,
Moon Rays,the chapter,B,130,,,,
Moon Song (That Wasn't Meant for Me),the ranking,C,237,776,,,
Moonlight Becomes You,the ranking,C,238,907,,,
Moonlight Serenade,the ranking,C,239,882,,,
More,the ranking,C,240,769,,,
Morning,the chapter,B,131,,,,
Morning Star,the chapter,B,132,,,,
The Most Beautiful Girl In The World,the chapter,B,202,,,,
Mr. Clean,the chapter,B,133,,,,
My Baby Just Cares for Me,the ranking,C,241,922,,,
My Buddy,the ranking,C,242,496,1,,
My Heart Belongs to Daddy,the ranking,C,243,584,,,
My Honey's Lovin' Arms,the ranking,C,244,873,,,
My Ideal,the ranking,C,245,379,,,
My Man,the ranking,C,246,472,,,
My Man's Gone Now,the ranking,C,247,481,,,
My Melancholy Baby,the ranking,C,248,164,,,
My Monday Date,the ranking,C,249,845,,,
My Reverie,the ranking,C,250,862,,,
My Silent Love,the ranking,C,251,746,,,
Nagasaki,the ranking,C,252,617,,,
Namely You,the ranking,C,253,782,,,
New Orleans,the ranking,C,254,867,,,
New York,the chapter,B,134,,,,
Nica's Tempo,the chapter,B,135,,,,
Night Train,the ranking,C,255,638,,categorical (5),yes
The Night We Called It a Day,the ranking,C,375,445,,,
No Moon At All,the ranking,C,256,569,4,,
No More,the ranking,C,257,659,,,
Nobody Else but Me,the ranking,C,258,657,,,
Nobody Knows the Trouble I've Seen,the ranking,C,259,538,,,
Nobody Knows You When You're Down and Out,the ranking,C,260,979,,,
Nobody's Sweetheart Now,the ranking,C,261,843,,,
Now It Can Be Told,the ranking,C,262,970,,,
Nuages,the ranking,C,263,504,,,yes
Nutty,the chapter,B,136,,1,,
Nutville,the chapter,B,137,,,categorical (3),
O Little Town of Bethlehem,the ranking,C,264,977,,,
Oblivion,the chapter,B,138,,,,
Oh You Crazy Moon,the ranking,C,265,783,,,
Ojos De Rojo,the chapter,B,139,,,,
Ol' Man River,the ranking,C,266,236,,,
Old Folks at Home,the ranking,C,267,492,,,
Oliloqui Valley,the chapter,B,140,,,,
On a Slow Boat to China,the ranking,C,268,630,4,,
On the Alamo,the ranking,C,269,359,,,
On The Nile,the chapter,B,141,,,,
On the Street Where You Live,the ranking,C,270,330,,,
On the Trail,the ranking,C,271,641,,,
Once in a While,the ranking,C,272,262,,,
"One Down, One Up",the chapter,B,142,,,,
The One I Love (Belongs to Somebody Else),the ranking,C,376,737,,,
One's Own Room,the chapter,B,143,,,,
Opus One,the ranking,C,273,948,,,
Organ Grinder's Swing,the ranking,C,274,736,,,
Oriental Folk Song,the chapter,B,144,,,,
Our Man Higgins,the chapter,B,145,,,,
Our Waltz,the chapter,B,146,,,,
Overtaken By A Moment,the chapter,B,147,,,,
Paris Eyes,the chapter,B,148,,,,
The Party's Over,the ranking,C,377,704,,,
Paul's Pal,the chapter,B,149,,,,
Peace Piece,the chapter,B,150,,,,
The Peanut Vendor,the ranking,C,378,519,,,
Peg O' My Heart,the ranking,C,276,655,,,
Penelope,the chapter,B,151,,,,
Penthouse Serenade,the ranking,C,277,580,,,
People,the ranking,C,278,508,,,
People Will Say We're in Love,the ranking,C,279,806,,,
Peresina,the chapter,B,152,,,,
Perfidia,the ranking,C,280,885,,,
Picadilly Lily,the chapter,B,153,,,,
Pinetop's Boogie Woogie,the ranking,C,281,965,,,
Played Twice,the chapter,B,154,,,,
Please Be Kind,the ranking,C,282,697,,,
(Please) Do It Again,the ranking,C,3,915,,,
Please Don't Talk About Me When I'm Gone,the ranking,C,283,634,,,
Please Send Me Someone to Love,the ranking,C,284,322,,,
Poor Butterfly,the ranking,C,285,196,,,
Poor People's March,the chapter,B,155,,,,
Portrait of Jennie,the ranking,C,286,795,,,
Power To The People,the chapter,B,156,,,,
Pretty Eyes,the chapter,B,157,,,,
Prisoner of Love,the ranking,C,287,670,,,
P.S. I Love You,the ranking,C,275,774,4,,
Punjab,the chapter,B,158,,,,
Put Your Little Foot Right Out,the chapter,B,159,,,,
Rahsaan's Run,the chapter,B,160,,,,
Rapture,the chapter,B,161,,,,
Red Sails in the Sunset,the ranking,C,288,600,,,
Reflections In D,the chapter,B,162,,,,
Remember,the ranking,C,289,362,,,
Resolution,the chapter,B,163,,,,
Right Now,the chapter,B,164,,,,
Ring Dem Bells,the ranking,C,290,932,,,
Riot,the chapter,B,165,,,,
Rise 'n Shine,the chapter,B,166,,,,
Riverboat Shuffle,the ranking,C,291,985,,,
Rockin' Chair,the ranking,C,292,437,,,
Rocks in My Bed,the ranking,C,293,933,,,
Roll 'Em,the ranking,C,294,814,,,
Roll 'Em Pete,the ranking,C,295,930,,,
Rosalie,the ranking,C,296,939,,,
Rose of the Rio Grande,the ranking,C,297,732,,,
Rosetta,the ranking,C,298,203,,,
Rosewood,the chapter,B,167,,,,
Ruby,the ranking,C,299,637,,,
Rudolph the Red-Nosed Reindeer,the ranking,C,300,981,,,
Runnin' Wild,the ranking,C,301,482,,,
Russian Lullaby,the ranking,C,302,469,,,
Same Shame,the chapter,B,169,,,,
Sans Souci,the chapter,B,170,,,,
Santa Claus Is Coming to Town,the ranking,C,303,417,,,
Say It Isn't So,the ranking,C,304,639,,,
Say It (Over And Over Again),the chapter,B,171,,,,
The Scene Is Clean,the chapter,B,203,,,,
The Second Time Around,the ranking,C,379,646,,,
See See Rider,the ranking,C,305,468,,,
Send in the Clowns,the ranking,C,306,707,,,
Sent for You Yesterday,the ranking,C,307,816,,,
Sentimental Journey,the ranking,C,308,792,,,
Serenade in Blue,the ranking,C,309,693,,,
Serenata,the ranking,C,310,891,,,
A Shade Of Jade,the chapter,B,4,,,,
Shall We Dance,the chapter,B,172,,,,
She,the chapter,B,173,,,,
Sheik of Araby,the ranking,C,311,165,,,
Shim-Me-Sha-Wabble,the ranking,C,312,826,,,
Shine,the ranking,C,313,498,,,
Shine on Harvest Moon,the ranking,C,314,846,,,
Shoe Shine Boy,the ranking,C,315,644,,,
Short Story,the chapter,B,174,,,,
"Silent Night, Holy Night",the ranking,C,316,476,,,
Silver's Serenade,the chapter,B,175,,,,
"Sing, Sing, Sing",the ranking,C,317,624,,,
Singin' in the Rain,the ranking,C,318,954,,,
Sky Dive,the chapter,B,176,,,,
A Sleepin' Bee,the ranking,C,8,701,,,
Smiles,the ranking,C,319,777,,,
Smooth Sailing,the ranking,C,320,961,,,
Snowfall,the ranking,C,321,900,,,
So Beats My Heart For You,the chapter,B,177,,,,
So in Love (Am I),the ranking,C,322,443,,,
So Near So Far,the chapter,B,178,,,,
So Rare,the ranking,C,323,946,,,
Social Call,the chapter,B,179,,,,
Some of These Days,the ranking,C,324,405,,,yes
Some Other Spring,the ranking,C,325,631,,,
Somebody Stole My Gal,the ranking,C,326,593,,,
Someday Sweetheart,the ranking,C,327,364,,,
Something to Live For,the ranking,C,328,439,,,
Sometimes I feel Like a Motherless Child,the ranking,C,329,505,,,
Somewhere,the ranking,C,330,719,,,
The Song Is Ended,the ranking,C,380,598,,,
Sonny Boy,the ranking,C,331,664,,,
Soon,the ranking,C,332,381,,,
Soul-Leo,the chapter,B,180,,,,
Soultrane,the chapter,B,181,,,,
South,the ranking,C,333,849,,,
Spiral,the chapter,B,182,,,,
S'posin',the chapter,B,168,,,,
Squatty Roo,the ranking,C,334,711,,,
Stairway to the Stars (Park Avenue Fantasy),the ranking,C,335,167,,,
Stars Fell on Alabama,the ranking,C,336,238,1,,
Stay As Sweet As You Are,the chapter,B,183,,,,
Step Lightly,the chapter,B,184,,,,
Stop Start,the chapter,B,185,,,,
Stormy Monday Blues,the ranking,C,337,925,,,
Straight Ahead,the chapter,B,186,,,,
Straight Street,the chapter,B,187,,,,
Straighten Up and Fly Right,the ranking,C,338,951,,categorical (3),
Stranger in Paradise,the ranking,C,339,968,,,
Street of Dreams,the ranking,C,340,376,,,
Strictly Confidential,the chapter,B,188,,,,
Strike Up the Band,the ranking,C,341,320,,,
String of Pearls,the ranking,C,342,960,,,
Stuffy,the ranking,C,343,692,,,
Sugar Blues,the ranking,C,344,791,,,
Summer In Central Park,the chapter,B,189,,,,
The Summer Knows,the ranking,C,381,608,,,
Summer Night,the ranking,C,345,839,,,
Sunday,the ranking,C,346,281,,,
A Sunday Kind of Love,the ranking,C,9,752,,,
Sunny,the ranking,C,347,606,,,
"Sunrise, Sunset",the chapter,B,190,,,,
Sunshower,the chapter,B,191,,,,
Super Jet,the chapter,B,192,,,,
Superstition,the ranking,C,348,991,,,
Sweet and Lovely,the ranking,C,349,142,,,
"Sweet Sue, Just You",the ranking,C,350,193,,,
Sweethearts on Parade,the ranking,C,351,956,,,
"Swing Low, Sweet Chariot",the ranking,C,352,478,,,
Swinging the Blues,the ranking,C,353,520,,,
Taboo,the ranking,C,354,850,,,
Tadd's Delight,the chapter,B,193,,,,
Tain't Nobody's Business If I Do,the ranking,C,355,653,,,
Tain't What You Do,the ranking,C,356,835,,,
A Taste of Honey,the ranking,C,10,893,,,
Temptation,the ranking,C,357,957,,,
Tempus Fugit,the chapter,B,194,,6,,
Tetragon,the chapter,B,195,,,,
Thanks for the Memory,the ranking,C,358,762,,,
That Old Devil Called Love,the ranking,C,359,824,,,
The Theme,the chapter,B,204,,,,
Theme For Ernie,the chapter,B,206,,,,
Theme For Maxine,the chapter,B,207,,,,
There Are Such Things,the ranking,C,385,913,,,
There'll Be Some Changes Made,the ranking,C,386,401,,,
There's a Lull in My Life,the ranking,C,387,924,,,
There's No You,the ranking,C,388,518,,,
They All Laughed,the ranking,C,389,927,,,
They Didn't Believe Me,the ranking,C,390,446,,,
They Say,the ranking,C,391,987,,,
They Say It's Wonderful,the ranking,C,392,345,1,,
The Things We Did Last Summer,the ranking,C,382,785,,,
Think of One,the chapter,B,208,,,,
Think On Me,the chapter,B,209,,,,
This Is All I Ask,the ranking,C,393,997,,,
This Is Always,the ranking,C,394,315,,,
This Is For Albert,the chapter,B,210,,,,
This Is New,the chapter,B,211,,,,
This Love of Mine,the ranking,C,395,590,,,
This Time the Dream's on Me,the ranking,C,396,416,,,
This Year's Kisses,the ranking,C,397,912,,,
Thou Swell,the ranking,C,398,278,,,
Three Flowers,the chapter,B,212,,,,
The Thrill Is Gone,the ranking,C,383,760,,,
Tickle Toe,the ranking,C,399,679,,,
Tiger Rag,the ranking,C,400,259,,,yes
Time on My Hands,the ranking,C,401,156,,,
Time Out,the ranking,C,402,944,,,
Time Was,the chapter,B,213,,,,
Tiny Capers,the chapter,B,214,,,,
'Tis Autumn,the ranking,C,1,621,,,
