rank,title_as_ranked
226,I'm Coming Virginia
258,I'm Confessin' That I Love You
686,I'm Crazy 'Bout My Baby
176,I'm Getting Sentimental Over You
357,I'm Glad There Is You
515,I'm Gonna Sit Right Down and Write Myself a Letter
195,I'm in the Mood for Love
363,I'm Just a Lucky So and So
964,I'm Just Wild About Harry
250,I'm Old Fashioned
884,I'm Putting All My Eggs in One Basket
636,I'm Thru with Love
794,I'm Yours
178,Imagination
771,Impressions
667,In a Little Spanish Town
140,In a Mellotone
19,In a Sentimental Mood
775,In the Mood
209,In the Still of the Night
340,In the Wee Small Hours of the Morning
495,In Walked Bud
223,In Your Own Sweet Way
267,Indian Summer
41,Indiana (Back Home Again in Indiana)
252,Invitation
805,Is You Is or Is You Ain't My Baby?
718,Isfahan
337,Isn't It Romantic
763,Isn't She Lovely
420,It Ain't Necessarily So
937,It All Depends on You
989,It Came Upon a Midnight Clear
60,It Could Happen to You
84,It Don't Mean a Thing
361,It Had to Be You
114,It Might As Well Be Spring
181,It Never Entered My Mind
676,It's a Blue World
778,It's a Wonderful World
279,It's All Right with Me
962,"It's Been a Long, Long Time"
527,It's Easy to Remember
689,It's Magic
154,It's Only a Paper Moon
255,It's the Talk of the Town
852,It's Wonderful
372,It's You or No One
78,I've Found a New Baby
487,I've Got a Crush on You
702,I've Got a Feeling I'm Falling
904,I've Got My Love to Keep Me Warm
184,I've Got the World on a String
160,I've Got You Under My Skin
304,I've Grown Accustomed to Her Face
465,I've Never Been in Love Before
658,Ja-Da
380,Jazz Me Blues
738,Jeep Is Jumpin'
308,Jeepers Creepers
801,Jersey Bounce
870,Jim
275,Jingle Bells
200,Jitterbug Waltz
767,Jive At Five
834,Johnny Come Lately
654,Jordu
511,Joy Spring
935,Jump for Joy
436,Jumpin' At the Woodside
712,Jumpin' with Symphony Sid
781,Just a Closer Walk with Thee
583,Just a Gigolo
461,Just A-Sittin' and A-Rockin'
85,Just Friends
230,Just in Time
74,Just One of Those Things
231,Just Squeeze Me (But Don't Tease Me)
90,"Just You, Just Me"
929,Kansas City
378,Keepin' Out of Mischief Now
628,Killer Joe
306,King Porter Stomp
458,Lady Bird
336,The Lady Is a Tramp
665,The Lady's in Love with You
820,Lament
530,The Lamp Is Low
526,Last Night When We Were Young
35,Laura
643,Lazy Afternoon
682,Lazy River
219,Lester Leaps In
554,Let It Snow! Let It Snow! Let It Snow!
934,Let Me Off Uptown
766,Let's Call the Whole Thing Off
990,Let's Dance
797,Let's Do It (Let's Fall in Love)
616,Let's Face the Music and Dance
480,Let's Fall in Love
147,Like Someone in Love
291,Li'l Darlin'
174,Limehouse Blues
666,Linger Awhile
124,Little Girl Blue
680,Little White Lies
189,Liza (All the Clouds'll Roll Away)
574,Lonesome Road
299,Long Ago (and Far Away)
673,Look for the Silver Lining
698,The Look of Love
688,Lost in the Stars
886,Lotus Blossom
408,Louise
604,Love Dance
30,Love for Sale
57,Love Is Here to Stay
821,Love Is Just Around the Corner
309,Love Letters
206,Love Me or Leave Me
201,Love Walked In
567,Love You Madly
715,Loveless Love
118,Lover
69,Lover Come Back to Me
7,"Lover Man (Oh, Where Can You Be)"
586,Lullaby in Rhythm
153,Lullaby of Birdland
992,Lullaby of Broadway
251,Lullaby of the Leaves
581,Lulu's Back in Town
36,Lush Life
110,Mack the Knife
952,Maiden Voyage
502,Main Stem
936,Make Believe
890,Make Someone Happy
202,Makin' Whoopee
938,Mambo Inn
18,The Man I Love
860,The Man That Got Away
489,Manhattan
490,Manteca
889,Maple Leaf Rag
268,Margie
591,Maria
838,Marie
887,Mas Que Nada
396,The Masquerade Is Over
983,Maybe
864,Maybe You'll Be There
75,Mean to Me
730,Meaning of the Blues
685,Meditation
83,Memories of You
725,Memphis Blues
325,Midnight Sun
287,Milestones
484,Misterioso
56,Misty
565,Moanin'
576,Moment's Notice
798,Monk's Dream
542,Monk's Mood
714,The Mooche
161,Mood Indigo
684,Moon River
776,Moon Song (That Wasn't Meant for Me)
128,Moonglow
907,Moonlight Becomes You
141,Moonlight in Vermont
882,Moonlight Serenade
699,Moose the Mooche
769,More
318,The More I See You
72,More Than You Know
249,Moten Swing
510,Move
342,Muskrat Ramble
922,My Baby Just Cares for Me
406,My Blue Heaven
496,My Buddy
333,My Favorite Things
103,My Foolish Heart
6,My Funny Valentine
584,My Heart Belongs to Daddy
246,My Heart Stood Still
873,My Honey's Lovin' Arms
379,My Ideal
587,My Little Suede Shoes
472,My Man
481,My Man's Gone Now
164,My Melancholy Baby
845,My Monday Date
101,My Old Flame
97,My One and Only Love
862,My Reverie
91,My Romance
307,My Shining Hour
292,My Ship
746,My Silent Love
617,Nagasaki
263,Naima
782,Namely You
622,Nancy (with the Laughing Face)
633,Nardis
115,Nature Boy
64,The Nearness of You
332,Never Let Me Go
867,New Orleans
418,Nica's Dream
158,Nice Work If You Can Get It
33,Night and Day
273,The Night Has a Thousand Eyes
40,Night in Tunisia
638,Night Train
445,The Night We Called It a Day
804,A Nightingale Sang in Berkeley Square
569,No Moon At All
659,No More
657,Nobody Else but Me
538,Nobody Knows the Trouble I've Seen
979,Nobody Knows You When You're Down and Out
843,Nobody's Sweetheart Now
970,Now It Can Be Told
354,Now's the Time
504,Nuages
977,O Little Town of Bethlehem
876,Off Minor
22,"Oh, Lady Be Good!"
783,Oh You Crazy Moon
236,Ol' Man River
242,Old Devil Moon
144,Old Folks
492,Old Folks at Home
280,Oleo
800,On a Clear Day (You Can See Forever)
630,On a Slow Boat to China
25,On Green Dolphin Street
359,On the Alamo
330,On the Street Where You Live
55,On the Sunny Side of the Street
641,On the Trail
683,Once I Loved
262,Once in a While
739,One for My Baby (And One More for the Road)
737,The One I Love (Belongs to Somebody Else)
533,One Note Samba
175,One O'clock Jump
534,(Ooh) What a Little Moonlight Can Do
948,Opus One
736,Organ Grinder's Swing
462,Ornithology
467,Our Delight
68,Out of Nowhere
434,Out of This World
63,Over the Rainbow
858,Ow!
493,Panama
494,Pannonica
488,Parker's Mood
704,The Party's Over
411,Passion Flower
923,Peace
605,The Peacocks
519,The Peanut Vendor
655,Peg O' My Heart
81,Pennies from Heaven
580,Penthouse Serenade
508,People
806,People Will Say We're in Love
58,Perdido
885,Perfidia
550,Pick Yourself Up
965,Pinetop's Boogie Woogie
697,Please Be Kind
915,(Please) Do It Again
634,Please Don't Talk About Me When I'm Gone
322,Please Send Me Someone to Love
334,Poinciana
79,Polka Dots and Moonbeams
196,Poor Butterfly
795,Portrait of Jennie
599,The Preacher
46,Prelude to a Kiss
670,Prisoner of Love
774,P.S. I Love You
412,Raincheck
780,Ray's Idea
978,Red Cross
600,Red Sails in the Sunset
855,Red Top
706,Reflections
748,Relaxin' At Camarillo
362,Remember
347,Rhythm-A-Ning
932,Ring Dem Bells
985,Riverboat Shuffle
710,Robbin's Nest
437,Rockin' Chair
369,Rockin' in Rhythm
933,Rocks in My Bed
814,Roll 'Em
930,Roll 'Em Pete
939,Rosalie
732,Rose of the Rio Grande
199,Rose Room
203,Rosetta
4,'Round Midnight
899,Route 66
204,Royal Garden Blues
637,Ruby
355,Ruby My Dear
981,Rudolph the Red-Nosed Reindeer
482,Runnin' Wild
469,Russian Lullaby
98,'S Wonderful!
796,Salt Peanuts
417,Santa Claus Is Coming to Town
45,Satin Doll
639,Say It Isn't So
271,Scrapple from the Apple
646,The Second Time Around
311,Secret Love
468,See See Rider
707,Send in the Clowns
816,Sent for You Yesterday
792,Sentimental Journey
274,September in the Rain
76,September Song
693,Serenade in Blue
891,Serenata
562,Seven Come Eleven
276,The Shadow of Your Smile
601,Shaw Nuff
165,Sheik of Araby
192,She's Funny That Way
826,Shim-Me-Sha-Wabble
498,Shine
846,Shine on Harvest Moon
421,Shiny Stockings
644,Shoe Shine Boy
727,Sidewinder
476,"Silent Night, Holy Night"
197,Since I Fell for You
624,"Sing, Sing, Sing"
954,Singin' in the Rain
851,Sippin' At Bell's
544,Sister Sadie
62,Skylark
701,A Sleepin' Bee
524,Smile
777,Smiles
99,Smoke Gets in Your Eyes
961,Smooth Sailing
900,Snowfall
443,So in Love (Am I)
946,So Rare
435,So What
314,Soft Winds
132,Softly As in a Morning Sunrise
402,Solar
136,Solitude
405,Some of These Days
631,Some Other Spring
172,Somebody Loves Me
593,Somebody Stole My Gal
240,Someday My Prince Will Come
364,Someday Sweetheart
77,Someone to Watch Over Me
439,Something to Live For
831,Sometime Ago
505,Sometimes I feel Like a Motherless Child
149,Sometimes I'm Happy
719,Somewhere
598,The Song Is Ended
159,The Song Is You
664,Sonny Boy
381,Soon
31,Sophisticated Lady
477,Soul Eyes
849,South
120,Speak Low
755,Spring Can Really Hang You Up the Most
228,Spring Is Here
711,Squatty Roo
171,Squeeze Me
239,St. James Infirmary
20,St Louis Blues
371,St. Thomas
424,Stablemates
167,Stairway to the Stars (Park Avenue Fantasy)
829,Star Crossed Lovers
12,Star Dust
87,Star Eyes
238,Stars Fell on Alabama
10,Stella By Starlight
853,Stolen Moments
48,Stompin' At the Savoy
925,Stormy Monday Blues
106,Stormy Weather (Keeps Rainin' All the Time)
163,Straight No Chaser
951,Straighten Up and Fly Right
681,Strange Fruit
968,Stranger in Paradise
376,Street of Dreams
320,Strike Up the Band
960,String of Pearls
709,Strollin'
556,Struttin' with Some Barbecue
692,Stuffy
791,Sugar Blues
813,Sugar Foot Stomp
269,Sugar (That Sugar Baby O' Mine)
608,The Summer Knows
839,Summer Night
3,Summertime
281,Sunday
752,A Sunday Kind of Love
606,Sunny
991,Superstition
399,The Surrey with the Fringe on Top
142,Sweet and Lovely
16,Sweet Georgia Brown
37,Sweet Lorraine
193,"Sweet Sue, Just You"
956,Sweethearts on Parade
478,"Swing Low, Sweet Chariot"
520,Swinging the Blues
850,Taboo
653,Tain't Nobody's Business If I Do
835,Tain't What You Do
656,Take Five
23,"Take the ""A"" Train"
214,Taking a Chance on Love
212,Tangerine
893,A Taste of Honey
59,Tea for Two
444,Teach me Tonight
957,Temptation
26,Tenderly
762,Thanks for the Memory
180,That Old Black Magic
824,That Old Devil Called Love
244,That Old Feeling
571,That's a Plenty
261,That's All
264,Them There Eyes
551,Then I'll Be Tired of You
913,There Are Such Things
52,There Is No Greater Love
43,There Will Never Be Another You
401,There'll Be Some Changes Made
924,There's a Lull in My Life
284,There's a Small Hotel
518,There's No You
28,These Foolish Things
927,They All Laughed
86,They Can't Take That Away from Me
446,They Didn't Believe Me
987,They Say
345,They Say It's Wonderful
92,Things Ain't What They Used to Be
785,The Things We Did Last Summer
123,This Can't Be Love
997,This Is All I Ask
315,This Is Always
590,This Love of Mine
416,This Time the Dream's on Me
912,This Year's Kisses
278,Thou Swell
145,Three Little Words
760,The Thrill Is Gone
679,Tickle Toe
615,Tico Tico (Tico No Fuba)
259,Tiger Rag
131,Time After Time
283,A Time for Love
156,Time on My Hands
944,Time Out
614,Tin Roof Blues
623,Tin Tin Deo
621,'Tis Autumn
1000,To Each His Own
749,Together
916,Tonight
391,Too Close for Comfort
620,Too Late Now
344,Too Marvelous for Words
972,Too Young to Go Steady
385,Topsy
474,The Touch of Your Lips
425,Travelin' Light
647,Trinkle Tinkle
879,Triste
409,Trouble in Mind
784,Trust in Me
663,Try a Little Tenderness
652,Tune Up
696,Tuxedo Junction
817,Two Sleepy People
793,Un Poco Loco
105,Undecided
645,Under a Blanket of Blue
722,Unforgettable
522,Until I Met You (Corner Pocket)
317,Until the Real Thing Comes Along
558,Upper Manhattan Medical Group (UMMG)
107,The Very Thought of You
728,Violets for Your Furs
908,Wait Till You See Her
854,Walk on By
341,Walkin'
577,Walkin' My Baby Back Home
512,Waltz for Debby
546,Warm Valley
400,Watch What Happens
609,Watermelon Man
216,Wave
368,Way Down Yonder in New Orleans
27,The Way You Look Tonight
613,Weary Blues
241,We'll Be Together Again
313,Well You Needn't
768,West Coast Blues
648,West End Blues
980,Wham
367,What a Difference a Day Made
945,What a Wonderful World
373,What Am I Here For
974,What Are You Doing New Year's Eve?
717,What Are You Doing the Rest of Your Life
232,What Is There to Say
8,What Is This Thing Called Love?
993,What Kind of Fool Am I?
819,What Will I Tell My Heart
751,What'll I Do
14,What's New?
675,When a Woman Loves a Man
973,When Day Is Done
137,When I Fall in Love
331,When It's Sleepy Time Down South
349,When Lights Are Low
517,When Sunny Gets Blue
282,When the Saints Go Marching In
485,When the Sun Comes Out
348,When You Wish Upon a Star
217,When Your Lover Has Gone
225,When You're Smiling
353,Where Are You
208,Where or When
297,Whisper Not
540,Whispering
404,White Christmas
607,Who
419,Who Cares? (So Long As You Care for Me)
454,Who's Sorry Now?
431,Why Do I Love You?
377,Why Was I Born
861,Wild Man Blues
328,Will You Still Be Mine
13,Willow Weep for Me
326,Winter Wonderland
705,Witchcraft
536,With a Song in My Heart
370,Without a Song
996,Wives and Lovers (Hey Little Girl)
669,Wolverine Blues
635,Wonder Why
173,Woody'n You
350,Work Song
874,The World Is Waiting for the Sunrise
190,Wrap Your Troubles in Dreams
168,Yardbird Suite
619,Yesterday
9,Yesterdays
235,You and the Night and the Music
919,You Are My Sunshine
449,You Are Too Beautiful
555,You Better Go Now
747,You Brought a New Kind of Love to Me
375,You Can Depend on Me
734,You Do Something to Me
53,You Don't Know What Love Is
42,You Go to My Head
678,You Leave Me Breathless
947,You Made Me Love You
848,You Make Me Feel so Young
596,You Must Believe in Spring
96,You Stepped Out of a Dream
310,You Took Advantage of Me
660,You Turned the Tables on Me
188,You'd Be So Nice to Come Home To
877,You'll Never Know
561,Young and Foolish
764,Young At Heart
830,You're a Lucky Guy
756,You're a Sweetheart
640,You're Blase
243,You're Driving Me Crazy (What Did I Do?)
770,You're Getting to Be a Habit with Me
525,You're Mine You
393,You're My Everything
374,You're My Thrill
940,You're the Top
871,Yours Is My Heart Alone
395,You've Changed
