title,programs,in_the_index,index_entry,program_list,printed_forms
Seven Steps to Heaven,6,List 2,List 2 #62,Cal State Long Beach; Marshall; Oregon; Utah; Western Michigan; William Paterson,SEVEN STEPS TO HEAVEN | Seven Steps To Heaven | Seven Steps to Heaven
Shaw Nuff,2,List 2,List 2 #63,Utah; William Paterson,SHAW NUFF | Shaw Nuff
Silver's Serenade,2,,,San Diego State; William Paterson,Silver's Serenade | Silver’s Serenade
Sippin' at Bells,1,List 3,List 3 #111,Central Florida,
Sister Sadie,1,List 2,List 2 #65,William Paterson,
SKY DIVE,1,,,Utah,
Skylark,5,List 5A,List 5A #60,Alabama; Cal State Long Beach; Utah; Western Michigan; William Paterson,SKYLARK | Skylark
"Slowly Gone, Bygone",1,,,William Paterson,
So What,10,List 1A,List 1A #48,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Western Michigan; William Paterson,SO WHAT | So What
"Softly, as in a Morning Sunrise",9,List 1A,List 1A #49,Alabama; Cal State Long Beach; Central Florida; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,"SOFTLY, AS IN A MORNING SUNRISE | Softly As in a Morning Sunrise | Softly as in a Morning Sunrise | Softly, As In A Morning Sunrise | Softly, as in a Morning Sunrise"
Solar,7,List 1A,List 1A #50,Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson,SOLAR | Solar
Solid,1,List 3,List 3 #112,William Paterson,
Solitude,1,List 5A,List 5A #63,Alabama,
Some Other Blues,1,List 3,List 3 #113,William Paterson,
Some Other Time,1,List 5C,List 5C #54,William Paterson,
Someday My Prince Will Come,10,List 1A,List 1A #51,Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,SOMEDAY MY PRINCE WILL COME | Some Day My Prince Will Come | Someday My Prince Will Come
Song for My Father,7,List 1A,List 1A #52,Cal State Long Beach; Iowa; Oregon; Sonoma State; Utah; Utah Valley; William Paterson,SONG FOR MY FATHER | Song For My Father | Song for My Father
"Song Is You, The",3,List 1B,List 1B #51,Cal State Long Beach; Utah; William Paterson,"SONG IS YOU, THE | Song Is You, The | The Song Is You"
Sonnymoon for Two,6,List 1A,List 1A #78,Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,SONNYMOON FOR TWO | Sonnymoon for Two
Sophisticated Lady,4,List 1B,List 1B #44,Alabama; Cal State Long Beach; Utah; Western Michigan,SOPHISTICATED LADY | Sophisticated Lady
SPAIN,1,List 2,List 2 #67,Utah,
Speak Low,3,List 1B,List 1B #45,Cal State Long Beach; Oregon; Utah,SPEAK LOW | Speak Low
Speak No Evil,2,List 2,List 2 #68,Cal State Long Beach; Utah,SPEAK NO EVIL | Speak No Evil
Spring Can Really Hang You Up the Most,1,List 5A,List 5A #65,William Paterson,
Spring Is Here,2,List 5A,List 5A #66,Cal State Long Beach; William Paterson,
St. Thomas,7,List 1A,List 1A #53,Cal State Long Beach; Iowa; Marshall; Oregon; Utah; Utah Valley; William Paterson,ST. THOMAS | St. Thomas
Stablemates,4,List 2,List 2 #69,Cal State Long Beach; Marshall; Utah; William Paterson,STABLEMATES | Stablemates
Star Eyes,3,List 1B,List 1B #46,Cal State Long Beach; Utah; William Paterson,STAR EYES | Star Eyes
Star-Crossed Lovers,1,List 4,List 4 #87,William Paterson,
Stardust,4,List 4,List 4 #22,Alabama; Cal State Long Beach; Utah; William Paterson,STARDUST | Star Dust | Stardust
Stars Fell On Alabama,1,,,William Paterson,
STEEPLECHASE,1,List 3,List 3 #139,Utah,
Stella by Starlight,11,List 1A,List 1A #54,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,STELLA BY STARLIGHT | Stella By Starlight | Stella by Starlight
Steps,1,,,William Paterson,
Stolen Moments,3,List 1B,List 1B #47,Cal State Long Beach; Oregon; William Paterson,
Stompin' at the Savoy,2,List 4,List 4 #58,Alabama; William Paterson,Stompin' at the Savoy | Stompin’ at the Savoy
"Straight, No Chaser",7,List 1A,List 1A #79,Alabama; Iowa; Oregon; Texas State; Utah; Utah Valley; William Paterson,"STRAIGHT NO CHASER | Straight No Chaser | Straight, No Chaser"
Strollin',3,List 2,List 2 #70,San Diego State; Utah; William Paterson,STROLLIN' | Strollin' | Strollin’
Sugar,4,List 2,List 2 #71,Oregon; Utah; Utah Valley; William Paterson,SUGAR | Sugar
Summertime,10,List 1A,List 1A #55,Alabama; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,SUMMERTIME | Summertime
Sweet and Lovely,1,,,San Diego State,
Sweet Georgia Brown,4,List 4,List 4 #59,Alabama; Oregon; Utah; William Paterson,
Take Five,2,List 1B,List 1B #48,Sonoma State; Utah,TAKE FIVE | Take Five
Take the 'A' Train,12,List 1A,List 1A #56,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,TAKE THE “A” TRAIN | Take The A Train | Take the 'A' Train | Take the A Train | Take the “A” Train
TAKE THE COLTRANE,1,List 3,List 3 #114,Utah,
Tangerine,1,List 2,List 2 #72,William Paterson,
Tenderly,4,List 5A,List 5A #69,Alabama; Cal State Long Beach; Western Michigan; William Paterson,
Tenor Madness,7,List 1A,List 1A #80,Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,TENOR MADNESS | Tenor Madness
That Old Devil Moon,1,,,Cal State Long Beach,
The Eternal Triangle,3,List 2,List 2 #115,Oregon; Utah; Western Michigan,"ETERNAL TRIANGLE, THE | Eternal Triangle | The Eternal Triangle"
The Gentle Rain,3,List 3,List 3 #78,Alabama; San Diego State; William Paterson,Gentle Rain | The Gentle Rain
The Girl from Ipanema,9,List 1A,List 1A #57,Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,"GIRL FROM IPANEMA, THE | Girl From Ipanema | Girl from Ipanema | The Girl from Ipanema"
The Girl From lpanema,1,,,Sonoma State,
The Lamp is Low,1,,,San Diego State,
THE LITTLE BOAT,1,,,Utah,
The Man I Love,1,List 5A,List 5A #71,Alabama,
(The) More I See You,1,List 5B,List 5B #61,William Paterson,
The Night Has A Thousand Eyes,1,List 1B,List 1B #49,Oregon,
The Shadow of Your Smile,3,List 1B,List 1B #50,Alabama; Cal State Long Beach; William Paterson,Shadow Of Your Smile | Shadow of Your Smile | The Shadow of Your Smile
The Sidewinder,3,List 2,List 2 #64,Iowa; Utah; William Paterson,Sidewinder | THE SIDEWINDER | The Sidewinder
THE TOUCH OF YOUR LIPS,1,List 5C,List 5C #60,Utah,
The Way You Look Tonight,4,List 5A,List 5A #73,Alabama; Cal State Long Beach; Utah; Western Michigan,"The Way You Look Tonight | WAY YOU LOOK TONIGHT, THE | Way You Look Tonight"
There Is No Grater Love,1,,,Texas State,
There is No Greater Love,8,List 1A,List 1A #58,Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Utah; Utah Valley; William Paterson,THERE IS NO GREATER LOVE | There Is No Greater Love | There is No Greater Love
There Will Never be Another You,9,List 1A,List 1A #59,Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Texas State; Utah; Utah Valley; William Paterson,THERE WILL NEVER BE ANOTHER YOU | There Will Never Be Another You | There Will Never be Another You
They Can’t Take That Away…,1,,,William Paterson,
THINGS AIN'T WHAT THEY USED TO BE,1,List 1A,List 1A #82,Utah,
Things We Did Last Summer,1,,,William Paterson,
Think On Me,1,,,William Paterson,
This I Dig of You,1,List 2,List 2 #76,Iowa,
Time Remembered,1,,,William Paterson,
Tone for Jones Bones,1,,,William Paterson,
Tones for Joan's Bones,2,List 3,List 3 #82,San Diego State; Utah,TONES FOR JOAN'S BONES | Tones for Joan's Bones
Too Young to Go Steady,1,,,William Paterson,
Tricotism,2,List 3,List 3 #83,Central Florida; Iowa,
Triste,4,List 1B,List 1B #52,Cal State Long Beach; Colorado Boulder; Marshall; William Paterson,
Tune Up (faster),7,List 1A,List 1A #60,Cal State Long Beach; Marshall; Oregon; San Diego State; Utah; Utah Valley; William Paterson,TUNE UP | Tune Up | Tune Up (faster)
Turn Out the Stars,1,,,William Paterson,
Unit 7,1,List 2,List 2 #80,William Paterson,
University Jazz Studies,1,,,William Paterson,
Unless it's You (a.k.a. Orbit),1,,,San Diego State,
Up Jumped Spring,6,List 2,List 2 #82,Colorado Boulder; Marshall; Oregon; Sonoma State; Utah; Western Michigan,UP JUMPED SPRING | Up Jumped Spring
Valse Hot,1,List 3,List 3 #87,Marshall,
Very Early,3,List 3,List 3 #88,Cal State Long Beach; Western Michigan; William Paterson,
Vierd Blues,2,List 3,List 3 #116,Central Florida; William Paterson,
Voyage,2,List 3,List 3 #89,Oregon; Utah,VOYAGE | Voyage
Walkin',3,List 1A,List 1A #83,Oregon; Utah; William Paterson,WALKIN' | Walkin' | Walkin’
Waltz for Debby,1,List 2,List 2 #83,William Paterson,
Watch What Happens,2,List 5B,List 5B #66,Utah; William Paterson,WATCH WHAT HAPPENS | Watch What Happens
Watermelon Man,5,List 1A,List 1A #61,Iowa; Marshall; Oregon; Utah; Utah Valley,WATERMELON MAN | Watermelon Man
Wave,8,List 1A,List 1A #62,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Texas State; Utah; Utah Valley; William Paterson,WAVE | Wave
Webb City,1,,,William Paterson,
Well You Needn't,4,List 1A,List 1A #63,Cal State Long Beach; Iowa; Utah; William Paterson,"WELL, YOU NEEDN'T | Well You Needn't | Well You Needn’t"
West Coast Blues,3,List 2,List 2 #84,Cal State Long Beach; Marshall; Utah,WEST COAST BLUES | West Coast Blues
What A Difference A Day..,1,,,William Paterson,
