title,disposition
Moon River,List 5C
Moon Song (That Wasn't Meant for Me),declined
Moonglow,List 4
Moonlight Becomes You,declined
Moonlight in Vermont,List 5A
Moonlight Serenade,declined
The Moontrane,List 2
Moose the Mooche,List 1A
More,declined
The More I See You,List 5B
More Than You Know,List 5B
Morning,declined
Morning Star,declined
Mosaic,List 3
The Most Beautiful Girl In The World,declined
Moten Swing,List 4
Move,List 2
Mr. Clean,declined
Mr. Day (AKA One And Four),List 3
Mr. P.C.,List 1A
Mr. Syms,List 3
Muskrat Ramble,List 4
My Baby Just Cares for Me,declined
My Blue Heaven,List 4
My Buddy,declined
My Favorite Things,List 1A
My Foolish Heart,List 5A
My Funny Valentine,List 1A
My Heart Belongs to Daddy,declined
My Heart Stood Still,List 5B
My Honey's Lovin' Arms,declined
My Ideal,declined
My Little Brown Book,List 4
My Little Suede Shoes,List 2
My Man,declined
My Man's Gone Now,declined
My Melancholy Baby,declined
My Monday Date,declined
My Old Flame,List 5A
My One and Only Love,List 1B
My Reverie,declined
My Romance,List 1A
My Shining Hour,List 1B
My Ship,List 5B
My Silent Love,declined
Nagasaki,declined
Naima,List 2
Namely You,declined
Nancy (with the Laughing Face),List 5C
Nardis,List 1A
Nature Boy,List 5A
The Nearness of You,List 5A
Nefertiti,List 2
Never Let Me Go,List 2
New Orleans,declined
New York,declined
Nica's Dream,List 1B
Nica's Tempo,declined
Nice Work If You Can Get It,List 5A
Night and Day,List 1A
Night Dreamer,List 3
The Night Has a Thousand Eyes,List 1B
Night in Tunisia,List 1A
Night Train,declined
The Night We Called It a Day,declined
A Nightingale Sang in Berkeley Square,List 5B
No Blues (AKA Pfrancing),List 2
No Moon At All,declined
No More,declined
Nobody Else but Me,declined
Nobody Knows the Trouble I've Seen,declined
Nobody Knows You When You're Down and Out,declined
Nobody's Sweetheart Now,declined
Nostalgia In Times Square,List 3
Now It Can Be Told,declined
Now's the Time,List 1A
Nuages,declined
Nutty,declined
Nutville,declined
O Grande Amor,List 3
O Little Town of Bethlehem,declined
Oblivion,declined
Off Minor,List 2
"Oh, Lady Be Good!",List 2
Oh You Crazy Moon,declined
Ojos De Rojo,declined
Ol' Man River,declined
Old Devil Moon,List 5B
Old Folks,List 5A
Old Folks at Home,declined
Oleo,List 1A
Oliloqui Valley,declined
On a Clear Day (You Can See Forever),List 5A
On A Misty Night,List 3
On a Slow Boat to China,declined
On Green Dolphin Street,List 1A
On the Alamo,declined
On The Nile,declined
On the Street Where You Live,declined
On the Sunny Side of the Street,List 4
On the Trail,declined
Once I Loved,List 5A
Once in a While,declined
One By One,List 3
"One Down, One Up",declined
One Finger Snap,List 3
One for My Baby (And One More for the Road),List 5C
The One I Love (Belongs to Somebody Else),declined
One Note Samba,List 1B
One O'clock Jump,List 4
One's Own Room,declined
(Ooh) What a Little Moonlight Can Do,List 5C
Opus De Funk,List 3
Opus One,declined
Organ Grinder's Swing,declined
Oriental Folk Song,declined
Ornithology,List 1A
An Oscar For Treadwell,List 3
Our Delight,List 2
Our Man Higgins,declined
Our Waltz,declined
Out of Nowhere,List 1A
Out of This World,List 5B
Over the Rainbow,List 1B
Overtaken By A Moment,declined
Ow!,List 3
Panama,List 4
Pannonica,List 2
Paris Eyes,declined
Parisian Thoroughfare,List 3
Parker's Mood,List 3
The Party's Over,declined
Passion Dance,List 2
Passion Flower,List 5B
Paul's Pal,declined
Peace,List 2
Peace Piece,declined
The Peacocks,List 2
The Peanut Vendor,declined
Peg O' My Heart,declined
Penelope,declined
Pennies from Heaven,List 5A
Pensativa,List 3
Penthouse Serenade,declined
Pent-Up House,List 2
People,declined
People Will Say We're in Love,declined
Perdido,List 4
Peresina,declined
Perfidia,declined
Picadilly Lily,declined
Pick Yourself Up,List 5C
Pinetop's Boogie Woogie,declined
Pinocchio,List 3
Played Twice,declined
Please Be Kind,declined
(Please) Do It Again,declined
Please Don't Talk About Me When I'm Gone,declined
Please Send Me Someone to Love,declined
Poinciana,List 2
Polka Dots and Moonbeams,List 1B
Poor Butterfly,declined
Poor People's March,declined
Portrait of Jennie,declined
Power To The People,declined
The Preacher,List 2
Prelude to a Kiss,List 5A
Pretty Eyes,declined
Prince Albert,List 3
Prisoner of Love,declined
P.S. I Love You,declined
Punjab,declined
Pursuance,List 3
Put Your Little Foot Right Out,declined
Quasimodo,List 3
Quicksilver,List 3
Rahsaan's Run,declined
Raincheck,List 4
Ramblin',List 3
Rapture,declined
Ray's Idea,List 3
Recordame (AKA No Me Esqueca),List 1A
Red Clay,List 2
Red Cross,List 3
Red Sails in the Sunset,declined
Red Top,List 4
Reflections,List 3
Reflections In D,declined
Relaxin' At Camarillo,List 3
Remember,declined
Resolution,declined
Rhythm-A-Ning,List 1A
Right Now,declined
Ring Dem Bells,declined
Riot,declined
Rise 'n Shine,declined
Riverboat Shuffle,declined
Robbin's Nest,List 4
Rockin' Chair,declined
Rockin' in Rhythm,List 4
Rocks in My Bed,declined
Roll 'Em,declined
Roll 'Em Pete,declined
Room 608,List 3
Rosalie,declined
Rose of the Rio Grande,declined
Rose Room,List 4
Rosetta,declined
Rosewood,declined
'Round Midnight,List 1A
Route 66,List 5C
Royal Garden Blues,List 4
Ruby,declined
Ruby My Dear,List 2
Rudolph the Red-Nosed Reindeer,declined
Runnin' Wild,declined
Russian Lullaby,declined
'S Wonderful!,List 5A
Sail Away,List 3
Salt Peanuts,List 2
Samba De Orpheus,List 2
Same Shame,declined
Sandu,List 1A
Sans Souci,declined
Santa Claus Is Coming to Town,declined
Satellite,List 3
Satin Doll,List 1A
Say It Isn't So,declined
Say It (Over And Over Again),declined
The Scene Is Clean,declined
Scrapple from the Apple,List 1B
Search For Peace,List 3
Second Balcony Jump,List 3
The Second Time Around,declined
Secret Love,List 5A
See See Rider,declined
Send in the Clowns,declined
Sent for You Yesterday,declined
Sentimental Journey,declined
Señor Blues,List 2
September in the Rain,List 5C
September Song,List 5B
Serenade in Blue,declined
Serenata,declined
Serenity,List 3
The Serpent's Tooth,List 3
Seven Come Eleven,List 4
Seven Steps To Heaven,List 2
A Shade Of Jade,declined
The Shadow of Your Smile,List 1B
Shall We Dance,declined
Shaw Nuff,List 2
She,declined
Sheik of Araby,declined
She's Funny That Way,List 5B
Shim-Me-Sha-Wabble,declined
Shine,declined
Shine on Harvest Moon,declined
Shiny Stockings,List 4
Shoe Shine Boy,declined
Short Story,declined
Sidewinder,List 2
"Silent Night, Holy Night",declined
Silver's Serenade,declined
Since I Fell for You,List 5C
"Sing, Sing, Sing",declined
Singin' in the Rain,declined
Sippin' At Bell's,List 3
Sister Sadie,List 2
Sky Dive,declined
Skylark,List 5A
A Sleepin' Bee,declined
Smile,List 5A
Smiles,declined
Smoke Gets in Your Eyes,List 5A
Smooth Sailing,declined
Snowfall,declined
So Beats My Heart For You,declined
So in Love (Am I),declined
So Near So Far,declined
So Rare,declined
So What,List 1A
Social Call,declined
Soft Winds,List 4
Softly As in a Morning Sunrise,List 1A
Solar,List 1A
Solid,List 3
Solitude,List 5A
Some of These Days,declined
Some Other Blues,List 3
Some Other Spring,declined
Some Other Time,List 5C
Somebody Loves Me,List 5B
Somebody Stole My Gal,declined
Someday My Prince Will Come,List 1A
Someday Sweetheart,declined
