year,title
Junior,Yesterdays
Junior,You Don't Know What Love Is
Junior,You Stepped Out of a Dream
Junior,You'd be so Nice to Come Home To
Senior,Airegin
Senior,Angel Eyes
Senior,Beatrice
Senior,Cherokee
Senior,Con Alma
Senior,Confirmation
Senior,Countdown
Senior,Dolphin Dance
Senior,Donna Lee
Senior,E.S.P.
Senior,Emily
Senior,Fee Fi Fo Fum
Senior,Four in One
Senior,Giant Steps
Senior,I Hear a Rhapsody
Senior,In Your Own Sweet Way
Senior,Inner Urge
Senior,Joy Spring
Senior,Lush Life
Senior,Moment's Notice
Senior,My Foolish Heart
Senior,My One and Only Love
Senior,Nica's Dream
Senior,Peace
Senior,Prelude to a Kiss
Senior,'Round Midnight
Senior,Sophisticated Lady
Senior,Stablemates
Senior,Take 5
Senior,What's New?
