title	warrant_1_rank	warrant_2_chapter	watkins_list1	watkins_list2	watkins_categorical	miller_calls	scan_mark_by_rule	graded_volumes	graded_floor	panel_reaches	verdict	division	tier	ground_if_declined
But Not for Me	54		10			2	WM	0		yes				
Buzzy		yes			3	1		0						
By Myself	827							0						
Bye Bye Blackbird	126		14			16	WM	0		yes				
Bye Bye Blues	499							0						
Bye-Ya		yes				10	M	0						
C Jam Blues	148				8	4		2	Foundational	yes				
C. R. M.		yes						0						
Cabin in the Sky	549							0						
Canadian Sunset	563							0						
Candy	716							0						
Can't Help Lovin' Dat Man	339					1		0						
Can't We Be Friends	632							0						
Cantaloupe Island		yes		7		3	WM	3	Foundational	yes				
Capetown Ambush		yes						0						
Caravan	17		10			45	WM	1	Emerging Intermediate	yes				
Careless Love	787							0						
Carioca	516							0						
Celia		yes				1		0						
Centerpiece	790				3			0						
Central Park West		yes				1		0		yes				
Ceora		yes	11				W	0		yes				
Change Partners	926							0						
Charleston	988							0						
Chasin' the Bird	799				2			0						
Chattanooga Choo Choo	914							0						
Cheek to Cheek	187					3		0						
Cheese Cake		yes				3		0						
Chelsea Bridge	221							0		yes				
Cherokee (Indian Love Song)	39		21			21	WM	0		yes				
Cherry	612							0						
Cheryl	895				6			0		yes				
Chi Chi		yes			3			0		yes				
Chicago (That Toddlin' Town)	541							0						
Chick's Tune		yes						0						
A Child Is Born	323					1		2	Emerging Intermediate	yes				
Children Of The Night		yes						0						
China Boy	288							0						
Chinatown My Chinatown	703							0						
Chloe	441							0						
Choose Now		yes						0						
The Christmas Song	305							0						
Christmas Time is Here	943							0						
Christopher Columbus	588							0						
Chronic Blues		yes						0						
Close Enough for Love	847							0						
Close Your Eyes	298							0						
Cocktails for Two	585							0						
Come Rain or Come Shine	51			6		3	WM	0		yes				
Come Sunday	151							0		yes				
Comes Love	802					8		0						
Con Alma	301							0		yes				
Conception	868							0						
Confirmation	218		16			1	WM	1	Intermediate	yes				
Constellation		yes						0						
Contemplation		yes						1	Foundational					
The Continental	906							0						
Cool Blues		yes			6	4		0		yes				
Coquette	407							0						
Corcovado (Quiet Nights of Quiet Stars)	382		15			18	WM	0		yes				
Cottage for Sale	840							0						
Cottontail	233				8	1		0		yes				
Count Every Star		yes						0						
Count Your Blessings		yes						0						
Countdown		yes		5		1	WM	0		yes				
Cousin Mary		yes			3	4		2	Foundational					
Crazeology		yes						0						
Crazy He Calls Me	388							0						
Crazy Rhythm	260							0						
The Creole Love Call	953							1	Intermediate					
Crepuscule With Nellie		yes						0						
Crescent		yes						0		yes				
Crisis		yes						0						
Criss Cross		yes						0						
Cry Me a River	423					1		0						
C.T.A.		yes						0						
Cyclic Episode		yes						0		yes				
Daahoud	765							0		yes				
Dance Cadaverous		yes						0		yes				
Dance Of The Infidels		yes			3			0						
Dancing in the Dark	257							0		yes				
Dancing on the Ceiling	671							0						
Danny Boy	649							0						
Dark Eyes	397							0						
Darktown Strutters Ball	547							0						
Darn That Dream	70			9		2	WM	0		yes				
Dat Dere		yes						1	Intermediate					
Davenport Blues	757							0						
Day By Day	695							1	Intermediate	yes				
Day Dream	237							0		yes				
Day In, Day Out	503							0		yes				
Days of Wine and Roses	135		17			11	WM	0		yes				
Dear Old Southland	589							0						
Dear Old Stockholm	430							1	Intermediate					
Dearly Beloved	595							0		yes				
Dedicated to You	573							0		yes				
Deed I Do	338							0		yes				
Deep in a Dream	740							0						
Deep Night	836							0						
Deep Purple	295							0						
Deep River	651							0						
Del Sasser		yes						0						
Delilah		yes						0						
Deluge		yes						0						
Desafinado	713		12			17	WM	0		yes				
Detour Ahead	572							0						
Dewey Square		yes						0						
Dexterity	859				4			0		yes				
Diane		yes						1	Intermediate					
Dig		yes				1		0		yes				
Dinah	134							0						
Dindi	694							0		yes				
Dizzy Atmosphere	881							0						
Django	211							0		yes				
Do Nothin' Till You Hear from Me	93					6		0						
Do You Know What It Means to Miss New Orleans	687							1	Intermediate					
Doggin' Around	998							0						
Dolphin Dance	742		12			2	WM	0		yes				
Donna Lee	194		14			6	WM	0		yes				
Don't Be That Way	183				2			0						
Don't Blame Me	38							0		yes				
Don't Explain	253							0						
Don't Get Around Much Anymore	104			8		5	WM	1	Foundational	yes				
Don't Go to Strangers	832							0						
Don't Take Your Love from Me	521							0						
Don't Worry 'Bout Me	177							0						
Don't You Know I Care?	452							0						
Doxy	691		13			17	WM	3	Foundational	yes				
Dr. Jekyll (AKA Dr. Jackle)		yes						0						
Dream	442							0						
Dream Dancing	910							0						
Dream of You	995							0						
Driftin'		yes						0						
Drop Me off in Harlem	566							0						
The Duke	833							0						
Early Autumn	389							1	Intermediate	yes				
East of the Sun (and West of the Moon)	125					1		0		yes				
Easter Parade	662							0						
Eastern Joy Dance		yes						0						
Easy Does It	949							0						
Easy Living	80							0		yes				
Easy to Love	122					1		0		yes				
Ecaroh		yes						0		yes				
Echoes of Harlem	969							0						
Effendi		yes						0						
Eighty One		yes						1	Intermediate	yes				
El Gaucho		yes						0						
Elm		yes						0						
Embraceable You	24			9		1	WM	1	Foundational	yes				
Emily	506			8			W	0		yes				
The End of a Love Affair	392					1		0						
Episode From A Village Dance		yes						0						
Epistrophy	346					35	M	0		yes				
Equinox	903			5	8	12	WM	1	Foundational	yes				
Eronel		yes						0						
Escapade		yes						0						
E.S.P.		yes		5		2	WM	0		yes				
Estate	720							0		yes				
The Eternal Triangle		yes			3			0		yes				
Every Day I Have the Blues	976							1	Foundational					
Every Tub	931							0						
Everybody Loves My Baby	507							0						
Everything but You	811							0						
Everything Happens to Me	102					2		0		yes				
Everything I Have Is Yours	579							0						
Everything Must Change	761							0						
Evidence	497							0		yes				
Ev'ry Time We Say Goodbye	220							0						
Ev'rything I Love	773							0						
Ev'rything I've Got (Belongs to You)	842							0						
Exact Change		yes						0						
Exactly Like You	113					1		1	Foundational	yes				
Exodus	822							0						
The Eye Of The Hurricane		yes						0						
Fall		yes						0		yes				
Falling in Love with Love	289							2	Foundational	yes				
Farewell Blues	413							0						
Fascinating Rhythm	329							0						
Fee-Fi-Fo-Fum		yes		5		6	WM	0		yes				
A Felicidade	708							0						
Fever	856					1		0						
Fidgety Feet	823							0						
Fifth House		yes						0						
Fine and Dandy	358							0		yes				
Fine and Mellow	941							0						
A Fine Romance	427							0		yes				
Firewater		yes						0						
Firm Roots		yes						0		yes				
First Trip		yes						0						
Five O'clock Whistle	803							0						
Five Spot After Dark		yes			2	4		0						
Flamingo	146							1	Foundational					
The Flat Foot Floogie	809							0						
A Flower Is a Lovesome Thing	398							0						
Fly Little Bird Fly		yes						0						
Fly Me to the Moon (In Other Words)	352					8		2	Foundational					
Flying Home	256							1	Intermediate					
A Foggy Day	88			9		6	WM	0		yes				
The Folks Who Live on the Hill	471							0						
Fools Rush in (Where Angels Fear to Tread)	460							0						
Footprints	618		15		21	16	WM	2	Foundational	yes				
For All We Know	111							0						
For Heaven's Sake	456					6		0						
For Sentimental Reasons	863							0						
For You	723							0						
Forest Flower		yes						0		yes				
Four	537		12			21	WM	1	Intermediate	yes				
Four Brothers	942							0						
Four By Five		yes						0						
Four In One		yes		1			W	0						
Four On Six		yes				1		1	Intermediate					
Four or Five Times	741							0						
Frankie and Johnny	514							0						
Freddie Freeloader		yes		8	7	13	WM	1	Foundational	yes				
Freedom Jazz Dance		yes		6	6		W	1	Foundational	yes				
Freeway		yes						0						
Frenesi	438							0						
Friday The Thirteenth		yes						0						
From This Moment On	390							0		yes				
The Fruit		yes						0						
Fuchsia Swing Song		yes						0						
Funji Mama		yes						0						
Gaslight		yes						0						
Gee Baby Ain't I Good to You	150					2		1	Intermediate					
The Gentle Rain		yes						2	Foundational	yes				
Georgia on My Mind	44			8		7	WM	1	Emerging Intermediate	yes				
Gertrude's Bounce		yes						0						
Get Happy	169					2		0						
Get Out of Town	410							0						
Getting To Know You		yes						0						
Giant Steps	254		17			1	WM	0		yes				
Gingerbread Boy		yes			2			1	Foundational	yes				
The Girl from Ipanema	479		17			16	WM	2	Foundational	yes				
Girl Talk	611							1	Foundational					
Glad to Be Unhappy	825							0						
Glass Enclosure		yes						0						
Gloomy Sunday	674							0						
Gloria's Step		yes						0		yes				
The Glory of Love	897							0						
Gnid		yes						1	Intermediate					
God Bless the Child	170							0		yes				
God Rest Ye Merry Gentlemen	729							0						
Goin' Out of My Head	883							0						
Goin' to Chicago Blues	535							0						
Gone Again		yes						0						
Gone with the Wind	143					1		0		yes				
Good Bait	277			7	9	1	WM	0		yes				
The Good Life	470							0						
Good Morning Heartache	316							0						
Goodbye	117							0						
Goodbye Pork Pie Hat	610					2		0		yes				
Goodnight My Love	743							0						
Grand Central		yes						0						
Granted		yes						0						
Green Eyes (Aquellos Ojos Verdes)	745							0						
Green St. Caper		yes						0						
Greensleeves	403					2		0						
Gregory Is Here		yes						0		yes				
Groovin' High	186			9		3	WM	1	Intermediate	yes				
Guilty	759							0						
The Gypsy In My Soul		yes						0						
Gypsy Without A Song		yes						0						
Hackensack (AKA Rifftide)		yes				4		0						
Half Nelson	894			5			W	0		yes				
Hallelujah	384							0						
Hallucinations (AKA Budo)		yes						0						
Happiness Is a Thing Called Joe	721							0						
Happy Times		yes						0						
Harlem Nocturne	807							0						
Harvard Blues	994							0						
Haunted Heart	880							0						
Have You Met Miss Jones	222		22			6	WM	1	Foundational	yes				
Have Yourself a Merry Little Christmas	457							0						
Heart and Soul	815							0						
Heat Wave	959							0						
Hello Dolly	758							0						
Hello Young Lovers	928							0		yes				
Here's That Rainy Day	100		13			1	WM	0		yes				
Hey There		yes						0						
Hi-Fly		yes						1	Intermediate	yes				
The Holy Land		yes						1	Foundational					
Homestretch (AKA Joe's Blues)		yes						0						
Honeysuckle Rose	15			9		9	WM	1	Foundational	yes				
Hot House	383			7		2	WM	0		yes				
The Hour of Parting	779							0						
House Of Jade		yes						0						
Household Of Saud		yes						0						
How About You	450							0						
How Am I to Know?	582							0						
How Are Things In Glocca Morra?		yes						0						
How Come You Do Me Like You Do	690							0						
How Could You Do A Thing Like That To Me		yes						0						
How Deep Is the Ocean?	49			5		1	WM	0		yes				
How High the Moon	21		14			10	WM	0		yes				
How Insensitive	552			7		3	WM	1	Foundational	yes				
How Long Has This Been Going On?	213							0						
How Long, How Long Blues	559							0						
Hub-Tones		yes						0						
Humoresque	668							0						
I Ain't Got Nobody (and Nobody Cares for Me)	415							0						
I Ain't Got Nothin' but the Blues	888							0						
I Believe in You	963							0						
I Can't Believe That You're in Love with Me	166							0						
I Can't Escape from You	726							0						
I Can't Get Started (with You)	5		12			1	WM	0		yes				
I Can't Give You Anything but Love	162							0						
I Can't Stop Loving You	920							0						
I Concentrate on You	290							0		yes				
I Could Have Danced All Night	841							0						
I Could Write a Book	455			5			W	0		yes				
I Cover the Waterfront	50							0		yes				
I Cried for You	245							0						
I Didn't Know About You	500							0						
I Didn't Know What Time It Was	82					1		0		yes				
I Don't Know Why (I Just Do)	464							0						
(I Don't Stand A) Ghost of a Chance	66							0		yes				
I Don't Wanna Be Kissed		yes						0						
I Fall in Love Too Easily	300							0		yes				
I Get a Kick Out of You	139							0						
I Get Along Without You Very Well	661							0						
I Got It Bad (and That Ain't Good)	61							0						
I Got Rhythm	73			6	10	3	WM	1	Emerging Intermediate	yes				
I Gotta Right to Sing the Blues	528							0						
I Guess I'll Hang My Tears Out To Dry		yes						0						
I Guess I'll Have to Change My Plan	753							0						
I Had The Craziest Dream		yes						0						
I Hadn't Anyone Till You	286							0						
I Hear a Rhapsody	227		11			7	WM	0		yes				
I Hear Music	414							0						
I Know That You Know	285							0						
I Left My Heart in San Francisco	971							0						
I Let a Song Go Out of My Heart	152							0						
I Love Lucy		yes						0						
I Love Paris	553							0						
I Love You	119		20				W	0		yes				
I Loves You Porgy	270							0						
I May Be Wrong	626							0						
I Mean You	625			5		1	WM	0		yes				
I Must Have That Man	564							0						
I Never Knew	303							0						
I Only Have Eyes for You	191							0						
I Remember Clifford	138							0		yes				
I Remember You	116			7			W	1	Foundational	yes				
I See Your Face Before Me	902							0						
I Should Care	47			5		1	WM	1	Intermediate	yes				
I Surrender Dear	95							0						
I Think You're Wonderful		yes						0						
I Thought About You	108			8		4	WM	0		yes				
I Thought I'd Let You Know		yes						0						
I Waited for You	866							0						
I Want a Little Girl	360							0						
I Want to Be Happy	215							0						
I Want to Talk About You	905							0						
I Wish I Knew	312							0						
I Wish You Love	984							0						
I Wished on the Moon	386							0						
I Won't Dance	999							0						
(I Would Do) Anything for You	750							0						
Idaho	955							0						
If		yes						0						
If Dreams Come True	491							0						
If Ever I Would Leave You		yes						0						
If I Could Be with You (One Hour Tonight)	155							0						
If I Had You	65							0						
If I Loved You	788							0						
If I Should Lose You	179					1		1	Foundational	yes				
If I Were a Bell	466			8		4	WM	0		yes				
If There Is Someone Lovelier Than You		yes						0						
If This Isn't Love		yes						0						
If You Could See Me Now	127							0		yes				
I'll Be Around	272							0		yes				
(I'll Be Glad When You're Dead) You Rascal You	568							0						
I'll Be Seeing You	453							0						
I'll Close My Eyes	865							0						
I'll Get By (As Long As I Have You)	531							0						
I'll Keep Loving You		yes						0						
I'll Never Be the Same	210							0						
I'll Never Smile Again	428							0						
I'll Remember April	29		16			1	WM	0		yes				
I'll See You in My Dreams	473							0						
I'll String Along with You	844							0						
I'll Take Romance	672							0						
I'll Wait And Pray		yes						0						
I'll Walk Alone	735							0						
Ill Wind	234							0						
I'm a Fool to Want You	319							0						
I'm an Old Cowhand (From the Rio Grande)	896							0						
I'm Beginning to See the Light	229					1		0						
I'm Coming Virginia	226							0						
I'm Confessin' That I Love You	258							0						
I'm Crazy 'Bout My Baby	686							0						
I'm Getting Sentimental Over You	176							0		yes				
I'm Glad There Is You	357							0						
I'm Gonna Sit Right Down and Write Myself a Letter	515							0						
I'm in the Mood for Love	195							0						
I'm Just a Lucky So and So	363							0						
I'm Just Wild About Harry	964							0						
I'm Old Fashioned	250					1		0		yes				
I'm Putting All My Eggs in One Basket	884							0						
I'm So Excited By You		yes						0						
I'm Thru with Love	636							0						
I'm Yours	794							0						
Imagination	178							0		yes				
Impressions	771		16			2	WM	4	Foundational	yes				
In A Capricornian Way		yes						0						
In a Little Spanish Town	667							0						
In a Mellotone	140		15			4	WM	2	Foundational	yes				
In A Mist		yes						0						
In a Sentimental Mood	19		22			4	WM	0		yes				
In Case You Haven't Heard		yes						0						
In the Mood	775							0						
In the Still of the Night	209							0						
In the Wee Small Hours of the Morning	340							0		yes				
In Walked Bud	495					10	M	1	Foundational	yes				
In Your Own Sweet Way	223		13			4	WM	1	Intermediate	yes				
Indian Summer	267							0						
Indiana (Back Home Again in Indiana)	41			9			W	1	Intermediate	yes				
Infant Eyes		yes				3		0		yes				
Inner Urge		yes		8			W	0		yes				
Intrepid Fox		yes						0		yes				
Introspection		yes						0						
Invitation	252		15			26	WM	0		yes				
Is That So		yes						0						
Is You Is or Is You Ain't My Baby?	805							0						
Isfahan	718					12	M	1	Emerging Intermediate	yes				
Isn't It Romantic	337							0		yes				
Isn't She Lovely	763							0						
Isotope		yes			5			0		yes				
Israel		yes						0		yes				
It Ain't Necessarily So	420							1	Foundational					
It All Depends on You	937							0						
It Came Upon a Midnight Clear	989							0						
It Could Happen to You	60		13			20	WM	1	Foundational	yes				
It Don't Mean a Thing	84			6		5	WM	0		yes				
It Had to Be You	361			6			W	0		yes				
It Might As Well Be Spring	114			5			W	0		yes				
It Never Entered My Mind	181					1		0		yes				
It's a Blue World	676							0						
It's a Wonderful World	778							0						
It's All Right with Me	279							0						
It's Been a Long, Long Time	962							0						
It's Easy to Remember	527							0						
It's Magic	689							0						
It's Only a Paper Moon	154							0						
It's the Talk of the Town	255							0						
It's Wonderful	852							0						
It's You or No One	372			5			W	0		yes				
I've Found a New Baby	78							0						
I've Got a Crush on You	487							0						
I've Got a Feeling I'm Falling	702							0						
I've Got My Love to Keep Me Warm	904							0						
I've Got the World on a String	184							0		yes				
I've Got You Under My Skin	160							0						
I've Grown Accustomed to Her Face	304							0						
I've Never Been in Love Before	465							0						
I've Told Ev'ry Little Star		yes						0						
Jackie-ing		yes						0						
Ja-Da	658							2	Foundational					
Jayne		yes						0						
Jazz Me Blues	380							0						
Jeannine		yes						1	Intermediate	yes				
Jeep Is Jumpin'	738							0						
Jeepers Creepers	308							0						
Jersey Bounce	801							0						
Jim	870							0						
Jingle Bells	275							1	Foundational					
Jitterbug Waltz	200							0		yes				
Jive At Five	767							0						
The Jody Grind		yes			2			1	Foundational	yes				
Johnny Come Lately	834							0						
Jordu	654					2		0		yes				
Joshua		yes						0		yes				
Joy Spring	511		20			2	WM	0		yes				
Juju		yes						0		yes				
Jump for Joy	935							0						
Jumpin' At the Woodside	436				2	2		0						
Jumpin' with Symphony Sid	712				3	1		0		yes				
Just a Closer Walk with Thee	781							0						
Just a Gigolo	583							0						
Just A-Sittin' and A-Rockin'	461							0						
Just Friends	85		21			8	WM	0		yes				
Just in Time	230							0		yes				
Just One More Chance		yes						0						
Just One of Those Things	74							0		yes				
Just Squeeze Me (But Don't Tease Me)	231							0						
Just You, Just Me	90							0						
Kansas City	929							0						
Katrina Ballerina		yes						0						
K.C. Blues		yes						0						
Keepin' Out of Mischief Now	378							0						
The Kicker		yes						0						
Killer Joe	628			7			W	4	Foundational	yes				
Kim		yes						0						
King Porter Stomp	306							0						
Knucklebean		yes						0						
La Alhambra		yes						0						
La Fiesta		yes						0						
La Mesha		yes						0						
Lady Bird	458		15			5	WM	2	Foundational	yes				
The Lady Is a Tramp	336					3		0						
The Lady's in Love with You	665							0						
Laird Baird		yes						0						
Lament	820							0		yes				
Lament For Booker		yes						0		yes				
The Lamp Is Low	530							0		yes				
Last Night When We Were Young	526							0						
Laura	35			7		1	WM	0		yes				
Lazy Afternoon	643							0						
Lazy Bird		yes		6		1	WM	2	Foundational	yes				
Lazy River	682							0						
Lester Leaps In	219				8			1	Foundational	yes				
Lester Left Town		yes						0						
Let It Snow! Let It Snow! Let It Snow!	554							0						
Let Me Off Uptown	934							0						
Let Me Try		yes						0						
Let's Call the Whole Thing Off	766							0						
Let's Call This		yes						0						
Let's Cool One		yes						0						
Let's Dance	990							0						
Let's Do It (Let's Fall in Love)	797							0						
Let's Face the Music and Dance	616					1		0						
Let's Fall in Love	480					2		0		yes				
Light Blue		yes						0						
Like Someone in Love	147		15			2	WM	0		yes				
Like Sonny (AKA Simple Like)		yes						0						
Li'l Darlin'	291							1	Emerging Intermediate					
Lil's Paradise		yes						0						
Limehouse Blues	174				3			0						
Linger Awhile	666							0						
Litha		yes						0		yes				
Little B's Poem		yes						0		yes				
Little Dancer		yes						0						
Little Girl Blue	124							0		yes				
Little Melonae		yes						0		yes				
Little Niles		yes						0						
Little Old Lady		yes						0						
Little One		yes						0						
Little Red's Fantasy		yes						0						
Little Rootie Tootie		yes						0						
Little Sunflower		yes		8		7	WM	4	Foundational	yes				
Little White Lies	680							0						
Little Willie Leaps		yes						0		yes				
Liza (All the Clouds'll Roll Away)	189							0						
Locomotion		yes			2	1		0						
Lonely Woman		yes			1			0						
Lonesome Road	574							0						
Long Ago (and Far Away)	299							0						
Lonnie's Lament		yes						0						
Look for the Silver Lining	673							1	Intermediate					
The Look of Love	698							0						
Lookout Farm		yes						0						
Lost		yes						0						
Lost in the Stars	688							0						
Lotus Blossom	886							0		yes				
Louise	408							0						
Love Dance	604							0						
Love for Sale	30			9		7	WM	0		yes				
Love Is A Many Splendored Thing		yes						0						
Love Is Here to Stay	57			6		7	WM	0		yes				
Love Is Just Around the Corner	821							0						
Love Letters	309							0						
Love Me or Leave Me	206							0						
Love Walked In	201							0		yes				
Love You Madly	567							0						
Loveless Love	715							0						
Lover	118							0		yes				
Lover Come Back to Me	69							0		yes				
Lover Man (Oh, Where Can You Be)	7		11			6	WM	0		yes				
Lucky Day		yes						0						
Lullaby in Rhythm	586							0						
Lullaby of Birdland	153			7		12	WM	0		yes				
Lullaby of Broadway	992							0						
Lullaby of the Leaves	251							0						
Lulu's Back in Town	581							0						
Luny Tune		yes						0						
Lush Life	36							0		yes				
Mack the Knife	110							0						
The Maestro		yes						0						
Mahjong		yes						0		yes				
Maiden Voyage	952		13			3	WM	1	Foundational	yes				
Main Stem	502							0						
Make Believe	936							0						
Make Someone Happy	890							0		yes				
Makin' Whoopee	202							0						
Mamacita		yes						0						
Mambo Inn	938							0						
The Man I Love	18							0		yes				
The Man That Got Away	860							0						
Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)		yes	15			41	WM	2	Foundational	yes				
Manhattan	489							0						
Manteca	490				2	1		0						
Maple Leaf Rag	889							0						
Margie	268							0						
Maria	591							0						
Marie	838							0						
Mas Que Nada	887							0						
The Masquerade Is Over	396							0						
Mating Call		yes						1	Intermediate					
Matrix		yes						0						
Maybe	983							0						
Maybe You'll Be There	864							0						
Mayreh		yes						0						
Mean to Me	75					1		0						
Meaning of the Blues	730							0						
Meditation	685			7			W	0		yes				
(Meet) The Flintstones		yes			6			0						
Melancholia		yes						0						
Memories of You	83							0						
Memphis Blues	725							0						
Mercy, Mercy, Mercy		yes				5		3	Foundational	yes				
Midnight Sun	325							0		yes				
Miles' Mode		yes						0						
Milestones	287					10	M	2	Foundational					
Milestones (old)		yes						0		yes				
Minority		yes						0		yes				
Mirror, Mirror		yes						0						
Misterioso	484				5	2		0						
Misty	56		16			10	WM	1	Emerging Intermediate	yes				
Miyako		yes						0						
Mo' Joe		yes						0						
Moanin'	565					17	M	1	Foundational	yes				
Mode For Joe		yes						0						
Mohawk		yes			2			0						
