key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
poinciana	Poinciana	2	58											
redclay	Red Clay	2	59	categorical (1)			1	1	0	Fusion		log only	1	207
rubymydear	Ruby My Dear	2	60									log only	1	207
sambadeorfeu	Samba De Orfeu	2	61									log only	2	163
sevenstepstoheaven	Seven Steps To Heaven [W]	2	62	List 2 (6)		6					Sophomore|Junior	Top 201		
shawnuff	Shaw Nuff	2	63	categorical (3)			3	0	3	Rhythm				
sidewinder	Sidewinder	2	64	categorical (4)			4	2	2	Bridge				
sistersadie	Sister Sadie	2	65											
souleyes	Soul Eyes	2	66											
spain	Spain [P]	2	67											
speaknoevil	Speak No Evil [WM]	2	68	List 2 (7)		7					Junior	Top 201	5	110
stablemates	Stablemates [W]	2	69	List 1 (10)	10						Senior	Top 201		
strollin	Strollin'	2	70											
sugar	Sugar [W]	2	71	List 2 (9)		9					Sophomore			
tangerine	Tangerine	2	72									log only	1	207
moontrane	The Moontrane	2	73											
peacocks	The Peacocks	2	74											
preacher	The Preacher	2	75											
thisidigofyou	This I Dig Of You [M]	2	76									Top 25	24	15
ticotico	Tico Tico	2	77											
tintindeo	Tin Tin Deo	2	78											
unpocoloco	Un Poco Loco	2	79											
unitseven	Unit Seven	2	80	categorical (2)			2			Bridge				
uppermanhattanmedicalgroup	Upper Manhattan Medical Group	2	81											
upjumpedspring	Up Jumped Spring	2	82									log only	2	163
waltzfordebby	Waltz for Debby	2	83								Junior			
westcoastblues	West Coast Blues	2	84	categorical (4)			4	4	0	RiffBlues		log only	1	207
whenlightsarelow	When Lights Are Low	2	85											
whispernot	Whisper Not [W]	2	86	List 2 (9)		9					Junior	Top 201		
windows	Windows	2	87											
witchhunt	Witch Hunt [WM]	2	88	List 2 (5)		5					Junior	log only	6	94
withoutasong	Without a Song	2	89											
woodynyou	Woody'n You	2	90									log only	4	124
yesorno	Yes Or No [W]	2	91	List 2 (5)		5					Junior			
youandthenightandthemusic	You and the Night and the Music	2	92											
youdbesonicetocomehometo	You'd Be So Nice to Come Home To [W]	2	93	List 2 (6)		6					Junior			
