index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
2	34	In Walked Bud	classified; prints on the style page	Jazz composition	Bebop				
2	35	Infant Eyes	classified; prints on the style page	Jazz composition	Post-bop				
2	36	Inner Urge	classified; prints on the style page	Jazz composition	Post-bop				
2	37	Isfahan	classified; prints on the style page	Jazz composition	Swing				
2	38	Jordu	classified; prints on the style page	Jazz composition	Hard bop	Afro-Cuban			yes
2	39	Juju	classified; prints on the style page	Jazz composition	Post-bop			modal or vamp	
2	40	Lady Bird	classified; prints on the style page	Jazz composition	Bebop				
2	41	Lazy Bird	classified; prints on the style page	Jazz composition	Hard bop				
2	42	Little B's Poem	classified; prints on the style page	Jazz composition	Post-bop	jazz waltz			
2	43	Minority	classified; prints on the style page	Jazz composition	Bebop				
2	44	Monk's Dream	classified; prints on the style page	Jazz composition	Bebop				
2	45	Monk's Mood	classified; prints on the style page	Jazz composition	Bebop				
2	46	My Little Suede Shoes	classified; prints on the style page	Jazz composition	Bebop	calypso			yes
2	47	Naima	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
2	48	Nefertiti	classified; prints on the style page	Jazz composition	Post-bop				
2	49	Never Let Me Go	classified; prints on the style page	Songbook	Straight-ahead				
2	50	No More Blues	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	samba			
2	51	Off Minor	classified; prints on the style page	Jazz composition	Bebop				
2	52	Oh, Lady Be Good!	classified; prints on the style page	Songbook	Straight-ahead				
2	53	Our Delight	classified; prints on the style page	Jazz composition	Bebop				
2	54	Pannonica	classified; prints on the style page	Jazz composition	Bebop				
2	55	Passion Dance	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
2	56	Peace	classified; prints on the style page	Jazz composition	Hard bop				
2	57	Pent-Up House	classified; prints on the style page	Jazz composition	Hard bop				
2	58	Poinciana	classified; prints on the style page	Songbook	Straight-ahead	Afro-Cuban			yes
2	59	Red Clay	classified; prints on the style page	Jazz composition	Jazz-rock / fusion	funk		modal or vamp	
2	60	Ruby My Dear	classified; prints on the style page	Jazz composition	Bebop				
2	61	Samba De Orfeu	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	samba			
