division	seat	title	in_ranking	in_chapter	in_guide	source_count	rank	source_count_band	rank_over_800_drop	screening_drop	band_after_drops	printed_band	delta
5A	47	Mood Indigo	Y	Y	Y	3	161	5A			5A	5A	none
5A	48	Moonlight in Vermont	Y	Y	Y	3	141	5A			5A	5A	none
5A	49	My Foolish Heart	Y	Y	Y	3	103	5A			5A	5A	none
5A	50	My Old Flame	Y	Y	Y	3	101	5A			5A	5A	none
5A	51	Nature Boy	Y	Y	Y	3	115	5A			5A	5A	none
5A	52	Nice Work If You Can Get It	Y	Y	Y	3	158	5A			5A	5A	none
5A	53	Old Folks	Y	Y	Y	3	144	5A			5A	5A	none
5A	54	On a Clear Day (You Can See Forever)	Y	Y	Y	3	800	5A			5A	5A	none
5A	55	Once I Loved	Y	Y	Y	3	683	5A			5A	5A	none
5A	56	Pennies from Heaven	Y	Y	Y	3	81	5A			5A	5A	none
5A	57	Prelude to a Kiss	Y	Y	Y	3	46	5A			5A	5A	none
5A	58	'S Wonderful!	Y	Y	Y	3	98	5A			5A	5A	none
5A	59	Secret Love	Y	Y	Y	3	311	5A			5A	5A	none
5A	60	Skylark	Y	Y	Y	3	62	5A			5A	5A	none
5A	61	Smile	Y	Y	Y	3	524	5A			5A	5A	none
5A	62	Smoke Gets in Your Eyes	Y	Y	Y	3	99	5A			5A	5A	none
5A	63	Solitude	Y	Y	Y	3	136	5A			5A	5A	none
5A	64	Someone to Watch Over Me	Y	Y	Y	3	77	5A			5A	5A	none
5A	65	Spring Can Really Hang You Up the Most	Y	Y	Y	3	755	5A			5A	5A	none
5A	66	Spring Is Here	Y	Y	Y	3	228	5A			5A	5A	none
5A	67	Stormy Weather	Y	Y	Y	3	106	5A			5A	5A	none
5A	68	Tea for Two	Y	Y	Y	3	59	5A			5A	5A	none
5A	69	Tenderly	Y	Y	Y	3	26	5A			5A	5A	none
5A	70	The Lady Is a Tramp	Y	Y	Y	3	336	5A			5A	5A	none
5A	71	The Man I Love	Y	Y	Y	3	18	5A			5A	5A	none
5A	72	The Nearness of You	Y	Y	Y	3	64	5A			5A	5A	none
5A	73	The Very Thought of You	Y	Y	Y	3	107	5A			5A	5A	none
5A	74	The Way You Look Tonight	Y	Y	Y	3	27	5A			5A	5A	none
5A	75	These Foolish Things	Y	Y	Y	3	28	5A			5A	5A	none
5A	76	They Can't Take That Away from Me	Y	Y	Y	3	86	5A			5A	5A	none
5A	77	Time After Time	Y	Y	Y	3	131	5A			5A	5A	none
5A	78	What's New?	Y	Y	Y	3	14	5A			5A	5A	none
5A	79	Willow Weep For Me	Y	Y	Y	3	13	5A			5A	5A	none
5A	80	You Go to My Head	Y	Y	Y	3	42	5A			5A	5A	none
5B	1	A Nightingale Sang in Berkeley Square	Y	Y	N	2	804	5B			5B	5B	none
5B	2	Alfie	Y	N	Y	2	545	5B			5B	5B	none
5B	3	All or Nothing At All	Y	Y	N	2	387	5B			5B	5B	none
5B	4	All the Way	Y	Y	N	2	570	5B			5B	5B	none
5B	5	As Time Goes By	Y	N	N	1	266	5C			5C	5B	compiler seat above its source-count band
5B	6	At Last	Y	N	N	1	869	5C			5C	5B	compiler seat above its source-count band
5B	7	Besame Mucho	Y	Y	N	2	294	5B			5B	5B	none
5B	8	Between the Devil and the Deep Blue Sea	Y	Y	N	2	157	5B			5B	5B	none
5B	9	Bewitched	Y	Y	N	2	335	5B			5B	5B	none
5B	10	Blues in the Night	Y	N	Y	2	207	5B			5B	5B	none
5B	11	Born to Be Blue	Y	Y	N	2	324	5B			5B	5B	none
5B	12	Crazy He Calls Me	Y	Y	N	2	388	5B			5B	5B	none
5B	13	Day Dream	Y	Y	N	2	237	5B			5B	5B	none
5B	14	Detour Ahead	Y	Y	N	2	572	5B			5B	5B	none
5B	15	Dindi	Y	Y	N	2	694	5B			5B	5B	none
5B	16	Don’t Explain	Y	Y	N	2	253	5B			5B	5B	none
5B	17	Estate	Y	N	N	1	720	5C			5C	5B	compiler seat above its source-count band
5B	18	Fine and Mellow	Y	Y	N	2	941	5B			5B	5B	none
5B	19	Fools Rush in	Y	Y	N	2	460	5B			5B	5B	none
5B	20	Get Happy	Y	Y	N	2	169	5B			5B	5B	none
5B	21	How About You	Y	Y	N	2	450	5B			5B	5B	none
5B	22	I Concentrate on You	Y	Y	N	2	290	5B			5B	5B	none
5B	23	I Could Write a Book	Y	Y	N	2	455	5B			5B	5B	none
5B	24	I Get a Kick Out of You	Y	Y	N	2	139	5B			5B	5B	none
5B	25	I Wish You Love	Y	Y	N	2	984	5B			5B	5B	none
5B	26	If I Had You	Y	Y	N	2	65	5B			5B	5B	none
5B	27	I'll Be Seeing You	Y	Y	N	2	453	5B			5B	5B	none
5B	28	I'll Close My Eyes	Y	Y	N	2	865	5B			5B	5B	none
5B	29	I'm Beginning to See the Light	Y	Y	N	2	229	5B			5B	5B	none
5B	30	I'm Old Fashioned	Y	Y	N	2	250	5B			5B	5B	none
5B	31	Imagination	Y	Y	N	2	178	5B			5B	5B	none
5B	32	In the Wee Small Hours of the Morning	Y	Y	N	2	340	5B			5B	5B	none
5B	33	Isn't It Romantic	Y	Y	N	2	337	5B			5B	5B	none
5B	34	It's All Right with Me	Y	Y	N	2	279	5B			5B	5B	none
5B	35	It's Only a Paper Moon	Y	Y	N	2	154	5B			5B	5B	none
5B	36	I've Got a Crush on You	Y	Y	N	2	487	5B			5B	5B	none
5B	37	I've Got the World on a String	Y	Y	N	2	184	5B			5B	5B	none
5B	38	I've Got You Under My Skin	Y	Y	N	2	160	5B			5B	5B	none
5B	39	Just in Time	Y	Y	N	2	230	5B			5B	5B	none
5B	40	Little Girl Blue	Y	Y	N	2	124	5B			5B	5B	none
5B	41	Lotus Blossom	Y	Y	Y	3	886	5A	Y		5B	5B	rank drop
5B	42	Love Me or Leave Me	Y	Y	N	2	206	5B			5B	5B	none
5B	43	Lover	Y	Y	Y	3	118	5A		Y	5B	5B	screening drop
5B	44	Lush Life	Y	Y	Y	3	36	5A		Y	5B	5B	screening drop
5B	45	Makin' Whoopee	Y	Y	N	2	202	5B			5B	5B	none
5B	46	More Than You Know	Y	Y	Y	3	72	5A		Y	5B	5B	screening drop
5B	47	My Heart Stood Still	Y	Y	Y	3	246	5A		Y	5B	5B	screening drop
5B	48	My Ship	Y	Y	N	2	292	5B			5B	5B	none
5B	49	Old Devil Moon	Y	Y	N	2	242	5B			5B	5B	none
5B	50	Out of This World	Y	Y	N	2	434	5B			5B	5B	none
5B	51	Passion Flower	Y	Y	N	2	411	5B			5B	5B	none
5B	52	September Song	Y	Y	N	2	76	5B			5B	5B	none
5B	53	She's Funny That Way	Y	Y	N	2	192	5B			5B	5B	none
5B	54	Somebody Loves Me	Y	Y	N	2	172	5B			5B	5B	none
5B	55	Sweet Lorraine	Y	Y	N	2	37	5B			5B	5B	none
5B	56	Teach Me Tonight	Y	Y	N	2	444	5B			5B	5B	none
5B	57	That Old Black Magic	Y	Y	N	2	180	5B			5B	5B	none
5B	58	That's All	Y	Y	N	2	261	5B			5B	5B	none
5B	59	The End Of A Love Affair	Y	Y	N	2	392	5B			5B	5B	none
5B	60	The Good Life	Y	Y	N	2	470	5B			5B	5B	none
5B	61	The More I See You	Y	Y	N	2	318	5B			5B	5B	none
5B	62	The Surrey with the Fringe On Top	Y	Y	N	2	399	5B			5B	5B	none
5B	63	This Can't Be Love	Y	Y	N	2	123	5B			5B	5B	none
5B	64	Too Marvelous for Words	Y	Y	N	2	344	5B			5B	5B	none
5B	65	Violets for Your Furs	Y	Y	N	2	728	5B			5B	5B	none
5B	66	Watch What Happens	Y	Y	N	2	400	5B			5B	5B	none
5B	67	We'll Be Together Again	Y	Y	N	2	241	5B			5B	5B	none
5B	68	What a Difference a Day Made	Y	Y	N	2	367	5B			5B	5B	none
5B	69	When I Fall in Love	Y	Y	N	2	137	5B			5B	5B	none
5B	70	When Sunny Gets Blue	Y	Y	N	2	517	5B			5B	5B	none
5B	71	When Your Lover Has Gone	Y	Y	N	2	217	5B			5B	5B	none
5B	72	Where or When	Y	Y	N	2	208	5B			5B	5B	none
5B	73	Will You Still Be Mine	Y	Y	N	2	328	5B			5B	5B	none
5B	74	Witchcraft	Y	Y	N	2	705	5B			5B	5B	none
5B	75	Wives and Lovers	Y	Y	N	2	996	5B			5B	5B	none
5B	76	You Must Believe in Spring	Y	N	N	1	596	5C			5C	5B	compiler seat above its source-count band
5B	77	You Took Advantage of Me	Y	Y	N	2	310	5B			5B	5B	none
5B	78	You've Changed	Y	Y	N	2	395	5B			5B	5B	none
5C	1	A Flower Is a Lovesome Thing	Y	Y	N	2	398	5B		Y	5C	5C	screening drop
5C	2	A Time for Love	Y	Y	N	2	283	5B		Y	5C	5C	screening drop
5C	3	Am I Blue	Y	N	N	1	486	5C			5C	5C	none
5C	4	As Long As I Live	Y	N	N	1	365	5C			5C	5C	none
5C	5	Begin the Beguine	Y	Y	N	2	247	5B		Y	5C	5C	screening drop
5C	6	Black Coffee	Y	N	N	1	892	5C			5C	5C	none
5C	7	Blame It on My Youth	Y	N	N	1	857	5C			5C	5C	none
5C	8	Blue Room	Y	Y	N	2	429	5B		Y	5C	5C	screening drop
5C	9	Can’t Help Lovin’ Dat Man	Y	Y	N	2	339	5B		Y	5C	5C	screening drop
5C	10	Cheek to Cheek	Y	N	N	1	187	5C			5C	5C	none
5C	11	Comes Love	Y	N	N	1	802	5C			5C	5C	none
5C	12	Cry Me a River	Y	N	N	1	423	5C			5C	5C	none
5C	13	Dancing in the Dark	Y	Y	N	2	257	5B		Y	5C	5C	screening drop
5C	14	Day By Day	Y	Y	N	2	695	5B		Y	5C	5C	screening drop
5C	15	Day In, Day Out	Y	N	N	1	503	5C			5C	5C	none
5C	16	Deed I Do	Y	N	N	1	338	5C			5C	5C	none
5C	17	Don't Worry 'Bout Me	Y	Y	N	2	177	5B		Y	5C	5C	screening drop
5C	18	Early Autumn	Y	N	N	1	389	5C			5C	5C	none
5C	19	Fascinating Rhythm	Y	N	Y	2	329	5B		Y	5C	5C	screening drop
5C	20	Fever	Y	N	N	1	856	5C			5C	5C	none
5C	21	Fine and Dandy	Y	Y	N	2	358	5B		Y	5C	5C	screening drop
5C	22	For All We Know	Y	Y	N	2	111	5B		Y	5C	5C	screening drop
5C	23	For Heaven’s Sake	Y	Y	N	2	456	5B		Y	5C	5C	screening drop
5C	24	For Sentimental Reasons	Y	N	N	1	863	5C			5C	5C	none
5C	25	From This Moment On	Y	N	N	1	390	5C			5C	5C	none
5C	26	Girl Talk	Y	Y	N	2	611	5B		Y	5C	5C	screening drop
5C	27	Glad to Be Unhappy	Y	N	N	1	825	5C			5C	5C	none
5C	28	Goodbye	Y	Y	N	2	117	5B		Y	5C	5C	screening drop
5C	29	Happiness Is a Thing Called Joe	Y	N	N	1	721	5C			5C	5C	none
5C	30	I Guess I'll Hang My Tears Out To Dry	N	Y	N	1		5C			5C	5C	none
5C	31	I Hadn't Anyone Till You	Y	Y	N	2	286	5B		Y	5C	5C	screening drop
5C	32	I Left My Heart in San Francisco	Y	N	N	1	971	5C			5C	5C	none
5C	33	I Loves You Porgy	Y	N	N	1	270	5C			5C	5C	none
5C	34	I Want to Talk About You	Y	Y	N	2	905	5B		Y	5C	5C	screening drop
5C	35	I'll Be Around	Y	Y	N	2	272	5B		Y	5C	5C	screening drop
5C	36	Ill Wind	Y	Y	N	2	234	5B		Y	5C	5C	screening drop
5C	37	In the Still of the Night	Y	N	N	1	209	5C			5C	5C	none
5C	38	It Ain't Necessarily So	Y	Y	N	2	420	5B		Y	5C	5C	screening drop
5C	39	It's Easy to Remember	Y	Y	N	2	527	5B		Y	5C	5C	screening drop
5C	40	It's the Talk of the Town	Y	Y	N	2	255	5B		Y	5C	5C	screening drop
5C	41	I've Grown Accustomed to Her Face	Y	Y	N	2	304	5B		Y	5C	5C	screening drop
5C	42	I've Never Been in Love Before	Y	Y	N	2	465	5B		Y	5C	5C	screening drop
5C	43	Last Night When We Were Young	Y	Y	N	2	526	5B		Y	5C	5C	screening drop
5C	44	Love Walked In	Y	N	N	1	201	5C			5C	5C	none
5C	45	Meaning of the Blues	Y	Y	N	2	730	5B		Y	5C	5C	screening drop
5C	46	Midnight Sun	Y	N	N	1	325	5C			5C	5C	none
5C	47	Moon River	Y	Y	N	2	684	5B		Y	5C	5C	screening drop
5C	48	Nancy (with the Laughing Face)	Y	Y	N	2	622	5B		Y	5C	5C	screening drop
5C	49	One for My Baby (And One More for the Road)	Y	N	N	1	739	5C			5C	5C	none
5C	50	Pick Yourself Up	Y	N	N	1	550	5C			5C	5C	none
5C	51	Route 66	Y	N	N	1	899	5C			5C	5C	none
5C	52	September in the Rain	Y	Y	N	2	274	5B		Y	5C	5C	screening drop
5C	53	Since I Fell for You	Y	N	N	1	197	5C			5C	5C	none
5C	54	Some Other Time	N	Y	N	1		5C			5C	5C	none
5C	55	Strange Fruit	Y	N	N	1	681	5C			5C	5C	none
5C	56	Taking a Chance on Love	Y	Y	N	2	214	5B		Y	5C	5C	screening drop
5C	57	That Old Feeling	Y	Y	N	2	244	5B		Y	5C	5C	screening drop
5C	58	The Folks Who Live on the Hill	Y	Y	N	2	471	5B		Y	5C	5C	screening drop
5C	59	The Man That Got Away	Y	N	N	1	860	5C			5C	5C	none
5C	60	The Touch of Your Lips	Y	Y	N	2	474	5B		Y	5C	5C	screening drop
5C	61	Them There Eyes	Y	N	N	1	264	5C			5C	5C	none
5C	62	Then I'll Be Tired of You	Y	N	N	1	551	5C			5C	5C	none
5C	63	There's a Small Hotel	Y	Y	N	2	284	5B		Y	5C	5C	screening drop
5C	64	Unforgettable	Y	Y	N	2	722	5B		Y	5C	5C	screening drop
5C	65	What a Little Moonlight Can Do	Y	N	N	1	534	5C			5C	5C	none
5C	66	Who Can I Turn To?	N	Y	Y	2		5B		Y	5C	5C	screening drop
5C	67	Wrap Your Troubles in Dreams	Y	Y	N	2	190	5B		Y	5C	5C	screening drop
5C	68	You Are Too Beautiful	Y	Y	N	2	449	5B		Y	5C	5C	screening drop
5C	69	You're Driving Me Crazy (What Did I Do?)	Y	Y	N	2	243	5B		Y	5C	5C	screening drop
