page	order	form_group	title	entry_no	miller_calls	watkins_list1	watkins_list2	js_rank
1A	89	RHYTHM CHANGES	I Got Rhythm	90	3		6	73
1A	90	RHYTHM CHANGES	Rhythm-A-Ning	93	2			347
1A	91	RHYTHM CHANGES	Oleo	92	1	21		280
1A	92	RHYTHM CHANGES	Cottontail	89	1			233
1A	93	RHYTHM CHANGES	Moose the Mooche	91				699
1B	1	STANDARDS	Desafinado	12	17	12		713
1B	2	STANDARDS	Moanin'	36	17			565
1B	3	STANDARDS	Beautiful Love	6	17		8	592
1B	4	STANDARDS	Lullaby of Birdland	33	12		7	153
1B	5	STANDARDS	Scrapple from the Apple	43	12		9	271
1B	6	STANDARDS	Take Five	48	10		3	656
1B	7	STANDARDS	Nica's Dream	39	9	10		418
1B	8	STANDARDS	Honeysuckle Rose	20	9		9	15
1B	9	STANDARDS	Beatrice	5	9		5	
1B	10	STANDARDS	I Hear a Rhapsody	24	7	11		227
1B	11	STANDARDS	Love for Sale	31	7		9	30
1B	12	STANDARDS	Georgia on My Mind	17	7		8	44
1B	13	STANDARDS	Love Is Here to Stay	32	7		6	57
1B	14	STANDARDS	A Foggy Day	1	6		9	88
1B	15	STANDARDS	My Shining Hour	38	6		6	307
1B	16	STANDARDS	Stolen Moments	47	6		7	853
1B	17	STANDARDS	Don't Get Around Much Anymore	14	5		8	104
1B	18	STANDARDS	In Your Own Sweet Way	27	4	13		223
1B	19	STANDARDS	Come Rain or Come Shine	11	3		6	51
1B	20	STANDARDS	Groovin' High	19	3		9	186
1B	21	STANDARDS	One Note Samba	40	3		9	533
1B	22	STANDARDS	How Insensitive	22	3		7	552
1B	23	STANDARDS	Speak Low	45	2	12		120
1B	24	STANDARDS	Dolphin Dance	13	2	12		742
1B	25	STANDARDS	But Not for Me	9	2	10		54
1B	26	STANDARDS	Angel Eyes	4	2		9	67
1B	27	STANDARDS	But Beautiful	8	2		5	133
1B	28	STANDARDS	I'll Remember April	26	1	16		29
1B	29	STANDARDS	I Can't Get Started	23	1	12		5
1B	30	STANDARDS	Star Eyes	46	1	12		87
1B	31	STANDARDS	Yardbird Suite	53	1	12		168
1B	32	STANDARDS	Embraceable You	15	1		9	24
1B	33	STANDARDS	Sophisticated Lady	44	1		7	31
1B	34	STANDARDS	Laura	30	1		7	35
1B	35	STANDARDS	How Deep Is the Ocean?	21	1		5	49
1B	36	STANDARDS	My One and Only Love	37	1		9	97
1B	37	STANDARDS	Gone with the Wind	18	1			143
1B	38	STANDARDS	Airegin	2	1		9	293
1B	39	STANDARDS	Manteca	34	1			490
1B	40	STANDARDS	Ceora	10		11		
1B	41	STANDARDS	The Shadow of Your Smile	50		10		276
1B	42	STANDARDS	Triste	52		10		879
1B	43	STANDARDS	Over the Rainbow	41			7	63
1B	44	STANDARDS	Polka Dots and Moonbeams	42			6	79
1B	45	STANDARDS	I Remember You	25			7	116
1B	46	STANDARDS	The Song Is You	51			8	159
1B	47	STANDARDS	The Night Has a Thousand Eyes	49			5	273
1B	48	STANDARDS	All of You	3			6	356
1B	49	STANDARDS	It's You or No One	28			5	372
1B	50	STANDARDS	Killer Joe	29			7	628
1B	51	STANDARDS	Meditation	35			7	685
1B	52	STANDARDS	Bluesette	7			8	
1B	53	STANDARDS	Freedom Jazz Dance	16			6	
