title_as_ranked	rank
Dear Old Stockholm	430
Dearly Beloved	595
Dedicated to You	573
Deed I Do	338
Deep in a Dream	740
Deep Night	836
Deep Purple	295
Deep River	651
Desafinado	713
Detour Ahead	572
Dexterity	859
Dinah	134
Dindi	694
Dizzy Atmosphere	881
Django	211
Do Nothin' Till You Hear from Me	93
Do You Know What It Means to Miss New Orleans	687
Doggin' Around	998
Dolphin Dance	742
Donna Lee	194
Don't Be That Way	183
Don't Blame Me	38
Don't Explain	253
Don't Get Around Much Anymore	104
Don't Go to Strangers	832
Don't Take Your Love from Me	521
Don't Worry 'Bout Me	177
Don't You Know I Care?	452
Doxy	691
Dream	442
Dream Dancing	910
Dream of You	995
Drop Me off in Harlem	566
Early Autumn	389
East of the Sun (and West of the Moon)	125
Easter Parade	662
Easy Does It	949
Easy Living	80
Easy to Love	122
Echoes of Harlem	969
Embraceable You	24
Emily	506
Epistrophy	346
Equinox	903
Estate	720
Every Day I Have the Blues	976
Every Tub	931
Everybody Loves My Baby	507
Everything but You	811
Everything Happens to Me	102
Everything I Have Is Yours	579
Everything Must Change	761
Evidence	497
Ev'ry Time We Say Goodbye	220
Ev'rything I Love	773
Ev'rything I've Got (Belongs to You)	842
Exactly Like You	113
Exodus	822
Falling in Love with Love	289
Farewell Blues	413
Fascinating Rhythm	329
Fever	856
Fidgety Feet	823
Fine and Dandy	358
Fine and Mellow	941
Five O'clock Whistle	803
Flamingo	146
Fly Me to the Moon (In Other Words)	352
Flying Home	256
Fools Rush in (Where Angels Fear to Tread)	460
Footprints	618
For All We Know	111
For Heaven's Sake	456
For Sentimental Reasons	863
For You	723
Four	537
Four Brothers	942
Four or Five Times	741
Frankie and Johnny	514
Frenesi	438
From This Moment On	390
Gee Baby Ain't I Good to You	150
Georgia on My Mind	44
Get Happy	169
Get Out of Town	410
Giant Steps	254
Girl Talk	611
Glad to Be Unhappy	825
Gloomy Sunday	674
God Bless the Child	170
God Rest Ye Merry Gentlemen	729
Goin' Out of My Head	883
Goin' to Chicago Blues	535
Gone with the Wind	143
Good Bait	277
Good Morning Heartache	316
Goodbye	117
Goodbye Pork Pie Hat	610
Goodnight My Love	743
Green Eyes (Aquellos Ojos Verdes)	745
Greensleeves	403
Groovin' High	186
Guilty	759
Half Nelson	894
Hallelujah	384
Happiness Is a Thing Called Joe	721
Harlem Nocturne	807
Harvard Blues	994
Haunted Heart	880
Have You Met Miss Jones	222
Have Yourself a Merry Little Christmas	457
Heart and Soul	815
Heat Wave	959
Hello Dolly	758
Hello Young Lovers	928
Here's That Rainy Day	100
Honeysuckle Rose	15
Hot House	383
How About You	450
How Am I to Know?	582
How Come You Do Me Like You Do	690
How Deep Is the Ocean?	49
How High the Moon	21
How Insensitive	552
How Long Has This Been Going On?	213
How Long, How Long Blues	559
Humoresque	668
I Ain't Got Nobody (and Nobody Cares for Me)	415
I Ain't Got Nothin' but the Blues	888
I Believe in You	963
I Can't Believe That You're in Love with Me	166
I Can't Escape from You	726
I Can't Get Started (with You)	5
I Can't Give You Anything but Love	162
I Can't Stop Loving You	920
I Concentrate on You	290
I Could Have Danced All Night	841
I Could Write a Book	455
I Cover the Waterfront	50
I Cried for You	245
I Didn't Know About You	500
I Didn't Know What Time It Was	82
I Don't Know Why (I Just Do)	464
(I Don't Stand A) Ghost of a Chance	66
I Fall in Love Too Easily	300
I Get a Kick Out of You	139
I Get Along Without You Very Well	661
I Got It Bad (and That Ain't Good)	61
I Got Rhythm	73
I Gotta Right to Sing the Blues	528
I Guess I'll Have to Change My Plan	753
I Hadn't Anyone Till You	286
I Hear a Rhapsody	227
I Hear Music	414
I Know That You Know	285
I Left My Heart in San Francisco	971
I Let a Song Go Out of My Heart	152
I Love Paris	553
I Love You	119
I Loves You Porgy	270
I May Be Wrong	626
I Mean You	625
I Must Have That Man	564
I Never Knew	303
I Only Have Eyes for You	191
I Remember Clifford	138
I Remember You	116
I See Your Face Before Me	902
I Should Care	47
I Surrender Dear	95
I Thought About You	108
I Waited for You	866
I Want a Little Girl	360
I Want to Be Happy	215
I Want to Talk About You	905
I Wish I Knew	312
I Wish You Love	984
I Wished on the Moon	386
I Won't Dance	999
(I Would Do) Anything for You	750
Idaho	955
If Dreams Come True	491
If I Could Be with You (One Hour Tonight)	155
If I Had You	65
If I Loved You	788
If I Should Lose You	179
If I Were a Bell	466
If You Could See Me Now	127
I'll Be Around	272
(I'll Be Glad When You're Dead) You Rascal You	568
I'll Be Seeing You	453
I'll Close My Eyes	865
I'll Get By (As Long As I Have You)	531
I'll Never Be the Same	210
I'll Never Smile Again	428
I'll Remember April	29
I'll See You in My Dreams	473
I'll String Along with You	844
I'll Take Romance	672
I'll Walk Alone	735
Ill Wind	234
I'm a Fool to Want You	319
I'm an Old Cowhand (From the Rio Grande)	896
I'm Beginning to See the Light	229
I'm Coming Virginia	226
I'm Confessin' That I Love You	258
I'm Crazy 'Bout My Baby	686
I'm Getting Sentimental Over You	176
I'm Glad There Is You	357
I'm Gonna Sit Right Down and Write Myself a Letter	515
I'm in the Mood for Love	195
I'm Just a Lucky So and So	363
I'm Just Wild About Harry	964
I'm Old Fashioned	250
I'm Putting All My Eggs in One Basket	884
I'm Thru with Love	636
I'm Yours	794
Imagination	178
Impressions	771
In a Little Spanish Town	667
In a Mellotone	140
In a Sentimental Mood	19
In the Mood	775
In the Still of the Night	209
In the Wee Small Hours of the Morning	340
In Walked Bud	495
In Your Own Sweet Way	223
Indian Summer	267
Indiana (Back Home Again in Indiana)	41
Invitation	252
Is You Is or Is You Ain't My Baby?	805
Isfahan	718
Isn't It Romantic	337
Isn't She Lovely	763
It Ain't Necessarily So	420
It All Depends on You	937
It Came Upon a Midnight Clear	989
It Could Happen to You	60
It Don't Mean a Thing	84
It Had to Be You	361
It Might As Well Be Spring	114
It Never Entered My Mind	181
It's a Blue World	676
It's a Wonderful World	778
It's All Right with Me	279
It's Been a Long, Long Time	962
It's Easy to Remember	527
It's Magic	689
It's Only a Paper Moon	154
It's the Talk of the Town	255
It's Wonderful	852
It's You or No One	372
I've Found a New Baby	78
I've Got a Crush on You	487
I've Got a Feeling I'm Falling	702
I've Got My Love to Keep Me Warm	904
I've Got the World on a String	184
I've Got You Under My Skin	160
I've Grown Accustomed to Her Face	304
I've Never Been in Love Before	465
Ja-Da	658
Jazz Me Blues	380
Jeep Is Jumpin'	738
Jeepers Creepers	308
Jersey Bounce	801
Jim	870
Jingle Bells	275
Jitterbug Waltz	200
Jive At Five	767
Johnny Come Lately	834
Jordu	654
Joy Spring	511
Jump for Joy	935
Jumpin' At the Woodside	436
Jumpin' with Symphony Sid	712
Just a Closer Walk with Thee	781
Just a Gigolo	583
Just A-Sittin' and A-Rockin'	461
Just Friends	85
Just in Time	230
Just One of Those Things	74
Just Squeeze Me (But Don't Tease Me)	231
Just You, Just Me	90
Kansas City	929
Keepin' Out of Mischief Now	378
Killer Joe	628
King Porter Stomp	306
Lady Bird	458
Lament	820
Last Night When We Were Young	526
Laura	35
Lazy Afternoon	643
Lazy River	682
Lester Leaps In	219
Let It Snow! Let It Snow! Let It Snow!	554
Let Me Off Uptown	934
Let's Call the Whole Thing Off	766
Let's Dance	990
Let's Do It (Let's Fall in Love)	797
Let's Face the Music and Dance	616
Let's Fall in Love	480
Like Someone in Love	147
Li'l Darlin'	291
Limehouse Blues	174
Linger Awhile	666
Little Girl Blue	124
Little White Lies	680
Liza (All the Clouds'll Roll Away)	189
Lonesome Road	574
Long Ago (and Far Away)	299
Look for the Silver Lining	673
Lost in the Stars	688
Lotus Blossom	886
Louise	408
Love Dance	604
Love for Sale	30
Love Is Here to Stay	57
Love Is Just Around the Corner	821
Love Letters	309
Love Me or Leave Me	206
Love Walked In	201
Love You Madly	567
Loveless Love	715
Lover	118
Lover Come Back to Me	69
Lover Man (Oh, Where Can You Be)	7
Lullaby in Rhythm	586
Lullaby of Birdland	153
Lullaby of Broadway	992
Lullaby of the Leaves	251
Lulu's Back in Town	581
Lush Life	36
Mack the Knife	110
Maiden Voyage	952
Main Stem	502
Make Believe	936
Make Someone Happy	890
Makin' Whoopee	202
Mambo Inn	938
Manhattan	489
Manteca	490
Maple Leaf Rag	889
Margie	268
Maria	591
Marie	838
Mas Que Nada	887
Maybe	983
Maybe You'll Be There	864
Mean to Me	75
Meaning of the Blues	730
Meditation	685
Memories of You	83
Memphis Blues	725
Midnight Sun	325
Milestones	287
Misterioso	484
Misty	56
Moanin'	565
Moment's Notice	576
Monk's Dream	798
Monk's Mood	542
Mood Indigo	161
Moon River	684
Moon Song (That Wasn't Meant for Me)	776
Moonglow	128
Moonlight Becomes You	907
Moonlight in Vermont	141
Moonlight Serenade	882
Moose the Mooche	699
More	769
More Than You Know	72
Moten Swing	249
Move	510
Muskrat Ramble	342
My Baby Just Cares for Me	922
My Blue Heaven	406
My Buddy	496
My Favorite Things	333
My Foolish Heart	103
My Funny Valentine	6
My Heart Belongs to Daddy	584
My Heart Stood Still	246
My Honey's Lovin' Arms	873
My Ideal	379
My Little Suede Shoes	587
My Man	472
My Man's Gone Now	481
My Melancholy Baby	164
My Monday Date	845
My Old Flame	101
My One and Only Love	97
My Reverie	862
My Romance	91
My Shining Hour	307
My Ship	292
My Silent Love	746
Nagasaki	617
Naima	263
Namely You	782
Nancy (with the Laughing Face)	622
Nardis	633
Nature Boy	115
Never Let Me Go	332
New Orleans	867
Nica's Dream	418
Nice Work If You Can Get It	158
Night and Day	33
Night in Tunisia	40
Night Train	638
No Moon At All	569
No More	659
Nobody Else but Me	657
Nobody Knows the Trouble I've Seen	538
Nobody Knows You When You're Down and Out	979
Nobody's Sweetheart Now	843
Now It Can Be Told	970
Now's the Time	354
Nuages	504
O Little Town of Bethlehem	977
Off Minor	876
Oh, Lady Be Good!	22
Oh You Crazy Moon	783
Ol' Man River	236
Old Devil Moon	242
Old Folks	144
Old Folks at Home	492
Oleo	280
On a Clear Day (You Can See Forever)	800
On a Slow Boat to China	630
On Green Dolphin Street	25
On the Alamo	359
On the Street Where You Live	330
On the Sunny Side of the Street	55
On the Trail	641
Once I Loved	683
Once in a While	262
One for My Baby (And One More for the Road)	739
One Note Samba	533
One O'clock Jump	175
(Ooh) What a Little Moonlight Can Do	534
Opus One	948
Organ Grinder's Swing	736
Ornithology	462
Our Delight	467
Out of Nowhere	68
Out of This World	434
Over the Rainbow	63
Ow!	858
Panama	493
Pannonica	494
Parker's Mood	488
Passion Flower	411
Peace	923
Peg O' My Heart	655
Pennies from Heaven	81
Penthouse Serenade	580
People	508
People Will Say We're in Love	806
Perdido	58
Perfidia	885
Pick Yourself Up	550
Pinetop's Boogie Woogie	965
Please Be Kind	697
(Please) Do It Again	915
Please Don't Talk About Me When I'm Gone	634
Please Send Me Someone to Love	322
Poinciana	334
Polka Dots and Moonbeams	79
Poor Butterfly	196
Portrait of Jennie	795
Prelude to a Kiss	46
Prisoner of Love	670
P.S. I Love You	774
Raincheck	412
Ray's Idea	780
Red Cross	978
Red Sails in the Sunset	600
Red Top	855
Reflections	706
Relaxin' At Camarillo	748
Remember	362
Rhythm-A-Ning	347
Ring Dem Bells	932
Riverboat Shuffle	985
Robbin's Nest	710
Rockin' Chair	437
Rockin' in Rhythm	369
Rocks in My Bed	933
Roll 'Em	814
Roll 'Em Pete	930
Rosalie	939
Rose of the Rio Grande	732
Rose Room	199
Rosetta	203
'Round Midnight	4
Route 66	899
Royal Garden Blues	204
Ruby	637
Ruby My Dear	355
Rudolph the Red-Nosed Reindeer	981
Runnin' Wild	482
Russian Lullaby	469
'S Wonderful!	98
Salt Peanuts	796
Santa Claus Is Coming to Town	417
Satin Doll	45
Say It Isn't So	639
Scrapple from the Apple	271
Secret Love	311
See See Rider	468
Send in the Clowns	707
Sent for You Yesterday	816
Sentimental Journey	792
September in the Rain	274
September Song	76
Serenade in Blue	693
Serenata	891
Seven Come Eleven	562
Shaw Nuff	601
Sheik of Araby	165
She's Funny That Way	192
Shim-Me-Sha-Wabble	826
Shine	498
Shine on Harvest Moon	846
Shiny Stockings	421
Shoe Shine Boy	644
Sidewinder	727
Silent Night, Holy Night	476
Since I Fell for You	197
Sing, Sing, Sing	624
Singin' in the Rain	954
Sippin' At Bell's	851
Sister Sadie	544
Skylark	62
Smile	524
Smiles	777
Smoke Gets in Your Eyes	99
Smooth Sailing	961
Snowfall	900
So in Love (Am I)	443
So Rare	946
So What	435
Soft Winds	314
Softly As in a Morning Sunrise	132
Solar	402
Solitude	136
Some of These Days	405
Some Other Spring	631
Somebody Loves Me	172
Somebody Stole My Gal	593
Someday My Prince Will Come	240
Someday Sweetheart	364
Someone to Watch Over Me	77
Something to Live For	439
Sometime Ago	831
Sometimes I feel Like a Motherless Child	505
Sometimes I'm Happy	149
Somewhere	719
Sonny Boy	664
Soon	381
Sophisticated Lady	31
Soul Eyes	477
South	849
Speak Low	120
Spring Can Really Hang You Up the Most	755
Spring Is Here	228
Squatty Roo	711
Squeeze Me	171
St. James Infirmary	239
St Louis Blues	20
St. Thomas	371
Stablemates	424
Stairway to the Stars (Park Avenue Fantasy)	167
Star Crossed Lovers	829
Star Dust	12
Star Eyes	87
Stars Fell on Alabama	238
Stella By Starlight	10
Stolen Moments	853
Stompin' At the Savoy	48
Stormy Monday Blues	925
Stormy Weather (Keeps Rainin' All the Time)	106
Straight No Chaser	163
Straighten Up and Fly Right	951
Strange Fruit	681
Stranger in Paradise	968
Street of Dreams	376
Strike Up the Band	320
String of Pearls	960
Strollin'	709
Struttin' with Some Barbecue	556
Stuffy	692
Sugar Blues	791
Sugar Foot Stomp	813
Sugar (That Sugar Baby O' Mine)	269
Summer Night	839
Summertime	3
Sunday	281
Sunny	606
Superstition	991
Sweet and Lovely	142
Sweet Georgia Brown	16
Sweet Lorraine	37
Sweet Sue, Just You	193
Sweethearts on Parade	956
Swing Low, Sweet Chariot	478
Swinging the Blues	520
Taboo	850
Tain't Nobody's Business If I Do	653
Tain't What You Do	835
Take Five	656
"Take the ""A"" Train"	23
Taking a Chance on Love	214
Tangerine	212
Tea for Two	59
Teach me Tonight	444
Temptation	957
Tenderly	26
Thanks for the Memory	762
That Old Black Magic	180
That Old Devil Called Love	824
That Old Feeling	244
That's a Plenty	571
That's All	261
The Best Is Yet to Come	878
The Best Thing for You	789
The Best Things in Life Are Free	818
The Breeze and I	447
The Christmas Song	305
The Continental	906
The Creole Love Call	953
The Duke	833
The End of a Love Affair	392
The Flat Foot Floogie	809
The Folks Who Live on the Hill	471
The Girl from Ipanema	479
The Glory of Love	897
The Good Life	470
The Hour of Parting	779
The Lady Is a Tramp	336
The Lady's in Love with You	665
The Lamp Is Low	530
The Look of Love	698
The Man I Love	18
The Man That Got Away	860
The Masquerade Is Over	396
The Mooche	714
The More I See You	318
The Nearness of You	64
The Night Has a Thousand Eyes	273
The Night We Called It a Day	445
The One I Love (Belongs to Somebody Else)	737
The Party's Over	704
The Peacocks	605
The Peanut Vendor	519
The Preacher	599
The Second Time Around	646
The Shadow of Your Smile	276
The Song Is Ended	598
The Song Is You	159
The Summer Knows	608
The Surrey with the Fringe on Top	399
The Things We Did Last Summer	785
The Thrill Is Gone	760
The Touch of Your Lips	474
The Very Thought of You	107
The Way You Look Tonight	27
The World Is Waiting for the Sunrise	874
Them There Eyes	264
Then I'll Be Tired of You	551
There Are Such Things	913
There Is No Greater Love	52
There Will Never Be Another You	43
There'll Be Some Changes Made	401
There's a Lull in My Life	924
There's a Small Hotel	284
There's No You	518
These Foolish Things	28
They All Laughed	927
They Can't Take That Away from Me	86
They Didn't Believe Me	446
They Say	987
They Say It's Wonderful	345
Things Ain't What They Used to Be	92
This Can't Be Love	123
This Is All I Ask	997
This Is Always	315
This Love of Mine	590
This Time the Dream's on Me	416
This Year's Kisses	912
Thou Swell	278
Three Little Words	145
Tickle Toe	679
Tico Tico (Tico No Fuba)	615
Tiger Rag	259
Time After Time	131
Time on My Hands	156
Time Out	944
Tin Roof Blues	614
Tin Tin Deo	623
'Tis Autumn	621
To Each His Own	1000
Together	749
Tonight	916
Too Close for Comfort	391
Too Late Now	620
Too Marvelous for Words	344
Too Young to Go Steady	972
Topsy	385
Travelin' Light	425
Trinkle Tinkle	647
Triste	879
Trouble in Mind	409
Trust in Me	784
Try a Little Tenderness	663
Tune Up	652
Tuxedo Junction	696
Two Sleepy People	817
Un Poco Loco	793
Undecided	105
Under a Blanket of Blue	645
Unforgettable	722
Until I Met You (Corner Pocket)	522
Until the Real Thing Comes Along	317
Upper Manhattan Medical Group (UMMG)	558
Violets for Your Furs	728
Wait Till You See Her	908
Walk on By	854
Walkin'	341
Walkin' My Baby Back Home	577
Waltz for Debby	512
Warm Valley	546
Watch What Happens	400
Watermelon Man	609
Wave	216
Way Down Yonder in New Orleans	368
Weary Blues	613
We'll Be Together Again	241
Well You Needn't	313
West Coast Blues	768
West End Blues	648
Wham	980
What a Difference a Day Made	367
What a Wonderful World	945
What Am I Here For	373
What Are You Doing New Year's Eve?	974
What Are You Doing the Rest of Your Life	717
What Is There to Say	232
What Is This Thing Called Love?	8
What Kind of Fool Am I?	993
What Will I Tell My Heart	819
What'll I Do	751
What's New?	14
When a Woman Loves a Man	675
When Day Is Done	973
When I Fall in Love	137
When It's Sleepy Time Down South	331
When Lights Are Low	349
When Sunny Gets Blue	517
When the Saints Go Marching In	282
When the Sun Comes Out	485
When You Wish Upon a Star	348
When Your Lover Has Gone	217
When You're Smiling	225
Where Are You	353
Where or When	208
Whisper Not	297
Whispering	540
White Christmas	404
Who	607
Who Cares? (So Long As You Care for Me)	419
Who's Sorry Now?	454
Why Do I Love You?	431
Why Was I Born	377
Wild Man Blues	861
Will You Still Be Mine	328
Willow Weep for Me	13
Winter Wonderland	326
Witchcraft	705
With a Song in My Heart	536
Without a Song	370
Wives and Lovers (Hey Little Girl)	996
Wolverine Blues	669
Wonder Why	635
Woody'n You	173
Work Song	350
Wrap Your Troubles in Dreams	190
Yardbird Suite	168
Yesterday	619
Yesterdays	9
You and the Night and the Music	235
You Are My Sunshine	919
You Are Too Beautiful	449
You Better Go Now	555
You Brought a New Kind of Love to Me	747
You Can Depend on Me	375
You Do Something to Me	734
You Don't Know What Love Is	53
You Go to My Head	42
You Leave Me Breathless	678
You Made Me Love You	947
You Make Me Feel so Young	848
You Must Believe in Spring	596
You Stepped Out of a Dream	96
You Took Advantage of Me	310
You Turned the Tables on Me	660
You'd Be So Nice to Come Home To	188
You'll Never Know	877
Young and Foolish	561
Young At Heart	764
You're a Lucky Guy	830
You're a Sweetheart	756
You're Blase	640
You're Driving Me Crazy (What Did I Do?)	243
You're Getting to Be a Habit with Me	770
You're Mine You	525
You're My Everything	393
You're My Thrill	374
You're the Top	940
Yours Is My Heart Alone	871
You've Changed	395
